sensor_060,sensor_104,sensor_511,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,sensor_160,sensor_080,result
17.6373,-0.0063,65.3386,-5613.75,64.8111,0.0473,0.081,0.145,15.83,3775.0,5.2115,15.78,0.9933,1.99,0.1725,8.7588,15.1,3.62,386.0,0.0071,양품
24.3509,-0.005,90.0,-6546.5,64.6444,0.8042,0.0692,0.122,15.87,613.0,4.4431,15.88,0.7947,1.8822,0.1739,9.094,17.39,2.438,502.0,0.0428,양품
12.0627,-0.0071,79.292,-5652.0,64.6222,0.8042,0.082,0.093,15.87,751.0,3.8954,15.88,0.7947,1.9457,0.0445,9.1784,12.74,2.438,423.0,0.0121,양품
9.5227,-0.0053,54.8463,-6656.75,60.9222,0.0473,0.0603,0.074,15.83,786.0,3.9957,15.78,0.9933,1.7797,0.1574,9.1585,13.28,3.62,2170.0,0.0307,양품
22.9245,-0.0061,98.3607,-5681.5,67.5333,-0.3311,0.1577,0.08,15.74,161.0,4.746,15.73,1.031,1.9998,0.0958,8.7495,15.1,3.776,504.0,0.0603,양품
9.3336,-0.0092,39.2906,-5537.5,64.0,0.8042,0.0517,0.057,15.87,967.0,4.49,15.88,0.7947,1.9648,0.1755,9.1784,14.62,2.438,311.0,0.0397,양품
12.5391,-0.0071,56.6372,-5349.25,68.5444,-0.4731,0.1474,0.097,15.83,82.0,4.3171,15.83,1.05,2.0063,0.0607,10.6376,14.45,3.777,378.0,0.0601,양품
12.4309,-0.0063,68.6627,-5495.75,62.8333,0.0,0.0546,0.152,15.78,424.0,5.3995,15.81,1.21,1.9688,0.1832,9.2658,18.43,3.566,424.0,0.0116,불량
28.6355,-0.0053,68.2464,-6518.25,67.5222,-0.4731,0.0809,0.094,15.83,595.0,5.2164,15.83,1.05,1.8967,0.0649,8.6667,14.37,3.777,527.0,0.0215,양품
8.6927,-0.006,85.5346,-4556.0,62.6556,0.0473,0.1767,0.899,15.83,3267.0,4.1082,15.78,0.9933,1.3362,0.0442,9.1784,12.11,3.62,7791.0,0.0615,양품
-5.3055,-0.0054,46.62,-5432.5,64.1667,-0.4731,0.059,0.109,15.83,248.0,5.2837,15.83,1.05,2.0345,,8.9336,16.04,3.777,530.0,-0.0077,양품
-8.7491,-0.0066,30.4762,-5677.75,66.6889,-0.4731,0.0706,0.169,15.83,344.0,4.8942,15.83,1.05,1.9985,,8.755,12.24,3.777,745.0,-0.0066,양품
26.6582,-0.004,62.6959,-6174.5,68.9222,0.0,0.1362,0.139,15.74,735.0,5.2537,15.75,0.9082,1.881,0.1351,8.7947,19.13,3.276,1657.0,0.0704,양품
28.7064,-0.0047,77.2118,-5367.75,68.2222,0.0,0.1644,0.097,15.74,106.0,6.8114,15.75,0.9082,2.0093,0.3297,8.7947,22.4,3.276,296.0,0.0614,양품
-8.2255,-0.0053,76.815,-5393.25,66.0889,,0.0462,0.194,,551.0,4.7156,,,1.9872,,8.8249,13.17,,531.0,0.0035,양품
28.1191,-0.0049,122.7621,-5594.25,61.2556,0.0,0.1548,0.096,15.74,447.0,5.2147,15.75,0.9082,1.8807,0.1551,9.3851,18.02,3.276,578.0,0.0533,양품
8.6673,-0.0071,76.5957,-2665.5,67.0222,-0.3311,0.0643,0.957,15.74,3454.0,4.6593,15.73,1.031,0.8912,,8.6942,14.74,3.776,5703.0,-0.0188,양품
3.8509,-0.0061,99.389,-5527.0,60.9111,0.0473,0.0622,0.077,15.83,232.0,5.469,15.78,0.9933,1.984,,9.1502,18.54,3.62,527.0,0.0065,양품
-15.1964,-0.0063,87.3016,-4695.25,65.2,,0.1261,0.954,,3046.0,4.2296,,,1.3355,,8.8388,15.78,,7716.0,-0.0265,양품
-6.4836,-0.0054,115.3488,-5491.5,64.8,0.7569,0.0319,0.133,15.68,451.0,4.1415,15.7,0.894,1.9898,,8.6942,11.5,3.428,663.0,-0.0316,양품
-11.2182,-0.0058,65.2361,-5463.25,65.3,,0.0415,0.178,,390.0,4.2605,,,2.0063,,9.7997,12.81,,619.0,0.0174,양품
11.5591,-0.0052,117.8744,-2609.25,62.7556,0.0473,0.1176,0.895,15.83,3218.0,4.1373,15.78,0.9933,0.8925,0.0461,8.7588,12.1,3.62,5480.0,0.0083,불량
28.4227,-0.005,116.5829,-5497.75,67.1556,0.0473,0.138,0.177,15.76,411.0,5.2979,15.71,1.026,2.0083,0.2973,8.7947,16.91,3.617,167.0,0.0893,양품
24.4727,-0.005,100.7557,-5522.25,61.7444,0.0473,0.1133,0.085,15.76,435.0,5.7258,15.71,1.026,1.87,0.0987,9.3851,20.14,3.617,592.0,0.0544,양품
5.1345,-0.006,103.3333,-1502.75,60.5,0.0,0.1217,0.947,15.74,2426.0,5.3251,15.75,0.9082,0.4368,0.4075,9.2007,17.05,3.276,6011.0,0.0121,양품
24.8064,-0.0062,45.0704,-5443.0,67.8111,0.0473,0.1419,0.114,15.76,307.0,7.6145,15.71,1.026,1.9935,0.0545,8.7947,23.74,3.617,352.0,0.0915,양품
27.6182,-0.0037,92.2034,-5668.0,64.0,0.1419,0.1999,0.056,15.66,127.0,4.9451,15.69,0.9318,1.853,0.0418,9.3851,15.55,3.663,336.0,0.0534,양품
20.5864,-0.0069,70.6306,-6274.75,66.2556,0.1419,0.1689,0.134,15.66,790.0,4.4596,15.69,0.9318,1.8835,0.1698,10.9634,13.45,3.663,168.0,0.0772,양품
27.6655,-0.0051,101.4634,-5609.5,61.7667,0.0473,0.1558,0.095,15.76,556.0,5.2551,15.71,1.026,1.8678,0.0463,9.3851,16.9,3.617,552.0,0.0916,양품
29.0264,-0.0056,42.5721,-6487.25,65.7333,0.7569,0.1476,0.106,15.68,633.0,4.6683,15.7,0.894,1.8753,0.0623,9.094,12.7,3.428,302.0,0.0725,양품
27.7364,-0.0066,85.3333,-6361.5,66.9778,0.0,0.0531,0.108,15.74,544.0,3.9228,15.75,0.9082,1.8895,0.0249,10.9634,10.64,3.276,623.0,0.0141,양품
24.8282,-0.0059,64.6809,-6514.0,61.6444,0.7569,0.16,0.113,15.68,795.0,4.1939,15.7,0.894,1.882,0.0252,9.1638,14.11,3.428,392.0,0.0706,양품
24.6118,-0.0064,73.0097,-6541.25,65.4333,0.7569,0.158,0.112,15.68,549.0,3.7815,15.7,0.894,1.8858,0.0471,9.094,15.23,3.428,532.0,0.0918,양품
27.7155,-0.0075,27.8607,-5147.25,62.9667,0.7569,0.1298,0.107,15.68,470.0,4.2139,15.7,0.894,1.983,0.199,9.094,14.45,3.428,1270.0,0.0488,양품
23.7864,-0.0068,49.8168,-6485.5,63.6444,0.0473,0.1524,0.126,15.76,700.0,4.8339,15.71,1.026,1.888,0.1278,9.1638,15.72,3.617,385.0,0.0716,양품
20.6,-0.0054,127.4827,-5409.0,68.3333,-0.1419,0.0386,0.138,15.64,280.0,5.5196,15.7,1.012,1.9937,0.0705,8.9336,17.76,3.865,702.0,0.0178,양품
29.7509,-0.005,151.5152,-6463.0,67.4,0.0473,0.0517,0.109,15.76,644.0,3.8059,15.71,1.026,1.8718,0.028,8.6667,13.9,3.617,389.0,-0.0055,양품
23.9945,-0.0066,66.7932,-5301.0,63.3556,0.0,0.1404,0.155,15.74,397.0,5.4282,15.75,0.9082,1.9775,0.0273,9.2658,18.23,3.276,259.0,0.085,양품
16.7909,-0.0055,78.0045,-5401.75,70.1667,-0.1419,0.1167,0.19,15.64,562.0,5.6383,15.7,1.012,2.019,0.0459,8.7495,18.16,3.865,203.0,0.0516,양품
23.7136,-0.0057,68.5714,-6470.75,64.6556,0.0473,0.161,0.095,15.76,613.0,5.8419,15.71,1.026,1.8893,0.121,10.9634,19.42,3.617,674.0,0.0603,양품
18.5764,-0.004,65.2038,-5432.75,60.2667,0.0,0.1134,0.067,15.74,171.0,4.4137,15.75,0.9082,1.9748,0.0385,9.2405,14.42,3.276,692.0,0.0209,불량
24.2918,-0.0051,136.9193,-5856.75,62.2111,0.0473,0.1296,0.115,15.76,725.0,6.0972,15.71,1.026,1.8845,0.1286,9.1638,17.8,3.617,3597.0,0.0659,양품
25.5127,-0.0044,77.2727,-5657.75,64.7111,-0.1419,0.0539,0.098,15.64,467.0,4.3933,15.7,1.012,1.97,0.0641,9.094,11.63,3.865,793.0,0.0271,양품
26.7064,-0.0062,54.6185,-5560.75,63.9444,0.0,0.1619,0.126,15.74,154.0,4.8126,15.75,0.9082,1.9817,0.0462,9.2658,13.41,3.276,717.0,0.0726,양품
8.9136,-0.0039,93.9683,-5474.25,65.7778,-0.3311,0.1191,0.062,15.73,336.0,4.0809,15.74,1.087,1.9945,0.1677,10.6376,13.58,3.316,210.0,0.0599,양품
8.9418,-0.0017,301.4493,-5600.5,68.2556,-0.1419,0.0373,0.116,15.65,326.0,5.1314,15.65,0.9838,1.977,0.0748,9.6272,14.37,3.785,460.0,0.0059,양품
6.9918,-0.0057,58.1498,-6068.75,67.1778,-0.1419,0.1442,0.073,15.64,712.0,4.291,15.7,1.012,1.779,0.1185,10.0686,13.84,3.865,2481.0,0.0515,양품
16.6036,-0.0062,77.1084,-5306.5,67.5778,0.6623,0.0951,0.191,15.8,374.0,5.4277,15.79,0.9176,1.9827,0.021,9.6272,16.53,3.609,492.0,0.0,양품
16.5255,-0.0017,243.4783,-6030.25,63.1444,-0.0946,0.1374,0.14,15.74,500.0,5.0727,15.81,1.035,1.9933,0.1853,9.2405,16.86,3.628,1909.0,0.0073,양품
29.1918,-0.005,88.665,-5653.75,65.4778,-0.3784,0.0654,0.136,15.74,854.0,5.9941,15.74,1.021,2.0232,0.1409,8.7947,18.15,3.901,206.0,0.0088,양품
10.08,-0.004,82.243,-5418.25,61.8778,0.6623,0.1399,0.101,15.8,604.0,4.9691,15.79,0.9176,1.9705,0.0337,9.0998,13.18,3.609,1132.0,0.0427,양품
3.9055,-0.0068,61.7647,-5641.25,61.8333,0.7569,0.054,0.071,15.68,472.0,4.3009,15.7,0.894,1.9843,0.0182,9.2405,14.19,3.428,266.0,0.0288,양품
26.6527,-0.0059,79.661,-5538.5,68.4333,0.3311,0.1159,0.153,15.7,461.0,7.4134,15.7,1.272,2.0003,0.0255,8.7947,23.05,3.653,293.0,0.0268,양품
17.6864,-0.0047,113.0667,-5261.75,66.9333,-0.0946,0.0499,0.111,15.74,108.0,5.7063,15.81,1.035,1.993,0.0353,8.9336,17.03,3.628,347.0,0.0242,양품
15.0182,-0.0059,62.5793,-5587.75,61.6778,-0.0946,0.0598,0.15,15.74,566.0,4.593,15.81,1.035,1.9705,0.1931,9.2658,15.21,3.628,878.0,0.0033,양품
15.7936,-0.0056,89.6861,-5531.5,69.3333,-0.0946,0.0461,0.06,15.74,355.0,4.0226,15.81,1.035,2.0303,0.2107,8.7495,11.65,3.628,579.0,0.0006,양품
6.6636,-0.0067,44.8598,-5456.25,67.6333,0.0,0.1645,0.18,15.74,445.0,5.0305,15.75,0.9082,1.9972,0.2239,9.6272,12.77,3.276,556.0,0.0234,불량
10.2109,-0.0045,93.3333,-5683.75,63.2778,0.6623,0.13,0.206,15.8,212.0,5.1929,15.79,0.9176,2.0173,0.0191,9.1502,18.14,3.609,591.0,0.0418,양품
-19.1518,-0.0056,52.0179,-6563.75,66.0556,,0.088,0.077,,847.0,4.9213,,,1.8005,,8.8388,13.59,,2366.0,0.0037,양품
22.2164,-0.0041,104.2424,-5559.0,63.9,-0.0473,0.0521,0.151,15.74,467.0,4.0774,15.72,1.097,1.9682,0.0224,9.2658,11.92,3.937,180.0,0.0389,양품
25.8364,-0.007,46.9751,-5499.75,63.3778,0.3311,0.0623,0.115,15.7,228.0,4.7194,15.7,1.272,1.9685,0.1115,9.2658,14.39,3.653,570.0,-0.0014,양품
25.9591,-0.0093,64.1711,-6353.5,67.6556,0.3311,0.1596,0.092,15.7,593.0,3.7323,15.7,1.272,1.8835,0.0667,8.6667,13.23,3.653,131.0,0.0689,양품
23.8864,-0.005,83.3747,-6599.25,63.5778,-0.3784,0.1282,0.09,15.74,721.0,4.3832,15.74,1.021,1.8888,0.058,9.1638,13.76,3.901,691.0,0.0587,양품
23.0364,-0.0068,56.0886,-6413.5,67.3111,0.3311,0.1308,0.137,15.7,775.0,5.6844,15.7,1.272,1.8873,0.0568,10.9634,19.92,3.653,484.0,0.0659,양품
22.7418,-0.0062,46.9636,-6569.5,63.8444,0.6623,0.1244,0.08,15.8,681.0,4.8832,15.79,0.9176,1.8785,0.0421,9.1638,15.77,3.609,367.0,0.0724,양품
-9.2836,-0.0034,162.3188,-6480.5,65.9556,-0.615,0.0606,0.115,15.78,594.0,6.4762,15.81,1.097,1.8815,,9.043,16.83,3.877,415.0,-0.0065,양품
-17.9336,-0.0045,103.8674,-6364.25,65.8333,-0.615,0.0752,0.07,15.78,329.0,6.2982,15.81,1.097,1.888,,9.043,18.72,3.877,330.0,0.0047,양품
