sensor_060,sensor_104,sensor_511,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,sensor_160,sensor_080,sensor_131,sensor_065,sensor_023,sensor_015,sensor_115,sensor_134,sensor_552,sensor_057,sensor_201,sensor_461,sensor_064,sensor_059,sensor_077,sensor_184,sensor_469,sensor_127,sensor_512,sensor_066,sensor_551,sensor_091,sensor_039,sensor_167,sensor_033,sensor_069,sensor_574,sensor_041,sensor_544,sensor_543,sensor_032,sensor_563,result
27.8373,-0.0056,87.1111,-2727.5,68.7111,-0.5677,0.0644,0.921,15.71,2942.0,5.2778,15.75,0.946,0.8847,0.058,8.659,16.15,3.148,5655.0,-0.0002,0.778,12.1627,1400.0,11.8566,0.0,993.1274,0.89,0.9241,17.24,30.2973,7.8579,4.4828,-0.053,23.319,14.6207,3.027,0.0,16.9061,17.93,8476.17,84.7327,2.2,84.7569,144.5955,0.2723,14.37,0.0078,0.1096,3.5029,265.922,불량
25.0836,-0.0059,67.9406,-6097.75,64.7667,-0.5677,0.137,0.072,15.86,597.0,4.6853,15.88,0.9082,1.7695,0.0458,9.6234,15.08,2.661,2352.0,0.0035,0.8038,14.9164,2808.0,9.1084,0.0,997.4308,0.43,0.9316,13.78,34.1207,9.4424,4.6275,-0.0947,36.218,8.2922,2.78,0.0,21.6833,14.32,8789.5001,86.9476,2.3,85.4274,144.17,0.28,61.1,0.0078,0.1096,3.5217,264.188,불량
22.6227,-0.0075,94.8247,-5521.25,63.3778,-0.4731,0.0613,0.082,15.84,302.0,5.2108,15.83,0.8089,2.0107,0.0317,8.6789,16.06,2.575,971.0,0.004,0.7589,17.3773,2592.75,8.4828,0.0,995.1991,1.61,0.9139,17.96,30.9721,11.0227,4.5873,-0.0728,25.722,31.4286,2.854,0.0,25.5177,17.48,7889.72,86.6867,1.7,84.9105,142.5155,0.1291,76.9,0.0078,0.1096,3.5298,,양품
-1.1927,-0.0047,55.0265,-6069.75,67.9889,0.0,0.1587,0.078,15.8,648.0,6.4674,15.77,0.8467,1.7822,,8.7977,21.3,3.038,2413.0,0.0298,0.7661,21.1927,2858.25,9.7686,0.0,998.4607,1.13,0.9251,12.63,34.3904,12.64,4.6164,-0.0377,20.512,299.314,2.572,0.0,24.2607,14.44,8889.3,86.6693,3.5,83.7998,145.2836,0.2785,78.11,0.0078,0.1096,3.5296,258.406,양품
17.6382,-0.0041,125.5385,-1431.5,62.5,0.0,0.1363,0.931,15.8,2478.0,4.9515,15.77,0.8467,0.439,0.1785,9.2007,18.54,3.038,5726.0,0.0573,0.7661,22.3618,619.5,9.7561,0.0,998.4607,1.06,0.9323,17.34,24.2101,10.2273,4.5924,-0.0617,22.958,22.1678,2.572,728.8889,28.1392,14.17,8651.3099,88.3312,2.2,85.0922,150.1191,0.3692,74.57,0.0078,0.1096,3.4603,,불량
20.4209,-0.0031,263.4538,-2694.75,61.2333,-0.0473,0.1572,0.942,15.82,3530.0,4.9296,15.85,0.8987,0.8882,0.0706,9.2007,14.57,3.263,5803.0,0.0643,0.7446,19.5791,1476.25,12.4364,0.0,1004.8054,0.85,0.9324,10.4,21.2039,5.9718,4.6135,-0.056,24.174,15.1805,2.77,0.0,24.8005,17.42,8907.68,88.3312,2.9,85.0922,150.3127,0.3049,74.57,0.0078,0.1096,3.4814,,양품
-8.1182,-0.0071,68.5315,-5757.25,63.3556,-0.0473,0.0443,0.125,15.82,199.0,6.5511,15.85,0.8987,2.0055,,9.1283,20.32,3.263,601.0,-0.0353,0.7446,28.1182,2675.75,12.1805,0.0,1004.8054,0.97,0.9231,15.7,19.4794,16.6636,4.5554,-0.025,20.532,31.9037,2.77,444.4444,37.6915,17.03,8581.6799,86.2537,3.1,86.3472,150.2055,0.2364,73.95,0.0078,0.1096,3.4262,263.276,양품
-5.5327,-0.0066,89.7338,-5612.5,60.2444,-0.0473,0.0545,0.032,15.82,346.0,5.8924,15.85,0.8987,1.7835,,8.5762,19.18,3.263,1653.0,-0.0423,0.7446,25.5327,3417.75,10.0002,0.0,1004.8054,,0.9231,11.45,21.098,9.6391,4.5554,-0.0176,20.421,88.5639,2.77,0.0,34.0855,,9100.62,87.4811,2.5,85.0465,153.6109,0.4839,74.04,0.0078,0.1096,3.6651,263.682,양품
0.4836,-0.0052,102.9126,-5575.25,66.2,-0.4258,0.0622,0.109,15.84,644.0,6.8608,15.87,1.045,1.9803,,8.6397,22.15,3.15,1036.0,-0.0156,0.7785,19.5164,2755.5,8.4061,0.0,1006.4594,1.48,0.9231,17.69,20.4401,11.7073,4.5554,-0.0132,20.564,0.0,2.582,0.0,26.2174,14.63,9242.01,86.7217,2.6,85.3498,149.9064,0.3148,4.138,0.0078,0.1096,3.3769,263.066,양품
22.4736,-0.0016,349.2063,-5469.25,65.0778,-0.4258,0.156,0.165,15.84,380.0,5.2005,15.87,1.045,2.0157,0.0283,8.6789,16.24,3.15,906.0,0.0673,0.7785,17.5264,2685.5,13.3419,0.0,1006.4594,1.33,0.9139,10.43,23.213,9.9538,4.5873,-0.0727,23.898,27.8104,2.582,250.7463,22.8371,19.83,8769.58,86.6867,1.8,84.9105,147.6491,0.2811,76.9,0.0078,0.1096,3.4522,,양품
3.97,-0.0051,87.8049,-5441.0,67.2,-0.4258,0.0955,0.08,15.84,339.0,7.2532,15.87,1.045,1.97,,8.6572,22.23,3.15,227.0,0.0308,0.7785,16.03,2547.0,11.9224,0.0,1006.4594,0.63,0.9267,11.21,22.8688,9.8192,4.4913,-0.008,20.285,112.3426,2.582,0.0,22.4489,12.44,9605.01,86.6078,1.5,85.7939,142.5227,0.3007,1.434,0.0078,0.1096,3.3374,266.526,양품
0.12,-0.0092,64.3929,-5434.0,65.1667,-0.4258,0.0954,0.13,15.84,429.0,6.7289,15.87,1.045,2.0095,,8.6397,21.52,3.15,1001.0,0.0042,0.7785,19.88,2617.5,13.6262,0.0,1006.4594,1.71,0.9267,17.51,31.3987,11.5491,4.4913,0.0054,20.909,0.0,2.582,840.0,27.2876,23.06,9233.7999,86.7217,2.2,85.3498,143.2009,0.206,4.198,0.0078,0.1096,3.4194,263.02,양품
-3.6564,-0.0072,42.9066,-5310.25,66.3556,0.0473,0.1077,0.087,15.88,385.0,6.6914,15.86,1.087,1.9715,,8.6397,21.56,3.361,668.0,0.0498,0.7777,23.6564,2717.5,15.4346,0.0,1006.8463,1.33,0.9231,16.13,38.7618,10.1218,4.5554,-0.0442,20.101,158.901,2.631,781.3953,31.9128,14.97,8189.1601,86.7217,2.6,85.3498,155.3091,0.2964,5.988,0.0078,0.1096,3.3751,265.688,양품
18.3936,-0.0108,60.1156,-2664.25,62.5,-0.4731,0.1312,0.915,16.03,3623.0,5.1588,15.96,0.9838,0.8915,0.2587,9.2007,19.27,3.034,5665.0,0.0405,0.8093,21.6064,1542.0,11.6229,0.0,1010.834,0.91,0.9323,16.72,25.905,13.1691,4.5924,-0.0748,23.538,18.1585,2.671,0.0,29.3176,15.91,8621.49,88.3312,3.4,85.0922,146.9618,0.1682,74.57,0.0078,0.1096,3.4744,,불량
15.3536,-0.0076,60.3279,-2681.75,64.6778,0.0946,0.1883,0.89,15.7,3130.0,5.7899,15.73,0.7285,0.8862,0.0225,8.7487,18.48,1.877,5366.0,0.0602,0.8743,24.6464,1496.25,4.704,0.0,996.2552,1.66,0.9296,11.37,33.162,15.3809,4.5715,-0.0467,18.486,21.6235,2.955,0.0,33.5962,20.53,8592.1301,88.2425,1.4,84.0432,150.7536,0.4183,14.41,0.0078,0.1096,3.4542,,양품
2.9964,-0.0071,65.8494,-2706.0,67.0333,-0.615,0.0403,0.95,16.01,3301.0,5.196,15.98,0.9365,0.8895,,8.6942,14.56,3.421,5913.0,0.0064,0.7839,17.0036,1445.75,10.6611,0.0,1013.0161,0.56,0.9326,11.35,18.1568,16.7209,4.6879,-0.0188,21.843,161.5291,2.685,164.7059,24.7224,20.63,8753.19,86.8448,1.5,85.0716,148.11,0.2794,76.33,0.0078,0.1096,3.5182,259.544,양품
-6.9155,-0.0062,48.0962,-5611.75,68.0333,-0.615,0.0488,0.148,16.01,647.0,5.45,15.98,0.9365,2.0137,,9.7997,17.88,3.421,542.0,0.0055,0.7839,26.9155,2736.25,14.8136,0.0,1013.0161,,0.9324,19.84,15.4569,19.5391,4.5894,-0.0702,34.018,76.6399,2.685,485.7143,34.5361,,9381.19,87.5241,2.7,84.9052,152.5282,0.4222,78.25,0.0078,0.1096,3.3839,259.91,양품
17.3873,-0.0078,69.6774,-5369.0,62.8889,-0.0473,0.1627,0.088,16.05,420.0,4.4239,15.98,0.9554,2.0017,0.0332,8.9336,14.36,3.759,455.0,0.0615,0.6287,22.6127,2732.0,5.7692,0.0,1009.9942,0.37,0.933,13.36,30.4356,9.3895,4.6476,-0.0415,20.946,37.4986,3.002,0.0,27.4102,12.25,8608.34,86.8595,3.8,84.3324,143.3318,0.238,76.69,0.0078,0.1096,3.4687,265.49,양품
13.1136,-0.0087,60.6581,-5217.5,66.1667,-0.615,0.1782,0.084,16.01,812.0,4.1865,15.98,0.9365,1.802,0.0597,8.8388,13.94,3.421,724.0,0.0775,0.7839,26.8864,3015.25,11.3083,0.0,1013.0161,1.32,0.933,14.76,15.5713,13.3609,4.6476,-0.0633,20.283,48.3466,2.685,520.6349,37.2145,13.05,8883.0601,85.1414,1.6,84.7166,142.5709,0.4414,76.67,0.0078,0.1096,3.632,261.806,양품
14.7073,-0.0112,51.8436,-5416.0,65.6333,-0.0473,0.1696,0.16,15.93,603.0,6.2102,15.93,0.6055,1.9817,0.0635,8.7588,20.91,2.647,252.0,0.0602,0.8139,25.2927,2588.0,6.8715,0.0,1011.7456,0.22,0.9287,9.73,24.6564,8.2273,4.5459,-0.058,17.937,44.8078,3.124,0.0,31.4769,20.75,8563.6299,88.3548,4.9,85.6039,147.6055,0.4072,14.14,0.0078,0.1096,3.2431,260.644,양품
29.5109,-0.0098,49.1677,-5500.5,68.6444,-0.0473,0.1818,0.089,16.05,406.0,4.6253,15.98,0.9554,1.9888,0.0292,23.3453,15.28,3.759,535.0,0.0729,0.6287,10.4891,2739.5,7.3997,0.0,1009.9942,0.74,0.9326,18.72,24.998,11.3609,4.6879,-0.067,21.759,30.2939,3.002,552.381,16.8198,15.94,8176.35,86.9275,1.8,101.9072,145.3855,0.2625,65.83,0.0078,0.1096,3.4577,,양품
13.1482,-0.0093,59.4595,-5497.75,65.3667,-0.615,0.1694,0.159,16.01,261.0,5.8491,15.98,0.9365,1.9773,0.1551,8.8033,18.81,3.421,310.0,0.079,0.7839,26.8518,2535.75,11.3994,0.0,1013.0161,1.59,0.9287,12.78,18.6965,10.3808,4.5459,-0.0724,20.074,41.2985,2.685,0.0,33.6192,19.71,7397.31,88.2847,4.1,83.9737,148.6245,0.219,14.26,0.0078,0.1096,3.3036,261.972,양품
-3.3864,-0.0087,67.6218,-5507.75,62.6667,0.0946,0.1038,0.036,15.87,396.0,5.3701,15.89,0.3122,1.9745,,9.1283,15.54,2.322,671.0,0.032,0.8884,23.3864,2637.25,11.6646,0.0,1010.4833,1.72,0.9238,20.02,16.2616,18.9564,4.6188,0.0041,22.694,256.6174,2.947,0.0,30.6289,16.39,8524.3801,86.2537,3.4,86.3472,151.1364,0.2539,73.95,0.0078,0.1096,3.2979,259.792,양품
4.4036,-0.0084,37.9822,-2622.5,65.4556,0.0946,0.0851,0.918,15.87,3511.0,4.6444,15.89,0.3122,0.8912,,8.8249,14.57,2.322,5575.0,0.0567,0.8884,15.5964,1550.0,9.5945,0.0,1010.4833,1.23,0.9326,13.99,25.2445,18.5418,4.6879,-0.0192,23.223,54.5004,2.947,691.8919,21.199,19.63,8955.3,86.8889,2.2,85.6591,147.5127,0.2879,,0.0078,0.1096,3.4811,260.822,양품
17.5473,-0.0093,78.7062,-6010.25,66.8889,-0.0473,0.1412,0.06,15.93,560.0,4.6263,15.93,0.6055,1.7778,0.0974,8.9336,14.83,2.647,2058.0,0.0543,0.8139,22.4527,2805.75,7.203,0.0,1011.7456,0.69,0.9334,17.57,33.6292,10.2673,4.6097,-0.0692,21.017,40.8611,3.124,0.0,32.0705,16.79,8892.11,86.8595,2.5,84.3324,144.0236,0.3806,76.69,0.0078,0.1096,3.5241,260.862,양품
-10.1245,-0.006,95.0,-5548.0,66.4778,0.0946,0.1033,0.081,15.87,118.0,4.5125,15.89,0.3122,2.0092,,10.0686,15.31,2.322,531.0,0.0122,0.8884,30.1245,2637.0,4.5248,0.0,1010.4833,0.66,0.9313,11.75,15.6292,24.2354,4.5873,0.0196,23.6541,59.4595,2.947,581.8182,39.5532,15.61,8344.05,87.3997,2.0,85.2487,151.0973,0.3427,76.73,0.0078,0.1096,3.4393,266.01,양품
13.9782,-0.0091,75.513,-1362.0,65.2667,-0.0473,0.1515,0.896,15.93,2841.0,4.5344,15.93,0.6055,0.4407,0.0231,8.7588,15.56,2.647,5448.0,0.0688,0.8139,26.0218,710.25,7.4758,0.0,1011.7456,1.67,0.933,16.75,21.3059,11.68,4.6476,-0.0636,21.112,47.3595,3.124,0.0,31.3313,16.4,9364.7399,88.3548,3.0,85.6039,143.9373,0.2799,14.14,0.0078,0.1096,3.3877,,양품
13.4891,-0.0087,57.2246,-5452.75,65.2222,-0.0473,0.1618,0.067,15.93,244.0,5.9735,15.93,0.6055,1.9728,0.0306,8.7588,19.74,2.647,617.0,0.0536,0.8139,26.5109,2574.25,5.804,0.0,1011.7456,1.63,0.9287,17.24,18.8415,9.9827,4.5459,-0.0585,17.11,51.1524,3.124,0.0,32.8848,20.8,8832.0102,88.3548,4.8,85.6039,148.87,0.2681,14.14,0.0078,0.1096,3.3276,267.024,양품
24.9027,-0.0033,172.0755,-5493.75,68.3222,-0.0473,0.1423,0.095,15.93,259.0,4.0902,15.93,0.6055,2.0135,0.0267,8.659,14.17,2.647,73.0,0.0549,0.8139,15.0973,2550.5,5.4971,0.0,1011.7456,25.47,0.9139,19.62,26.0692,10.8518,4.5873,-0.0608,23.743,13.4523,3.124,646.5753,22.6227,90.7,8660.4701,84.7327,2.2,84.7569,143.4191,0.2962,14.37,0.0078,0.1096,3.6042,,불량
23.4736,-0.0093,40.7507,-5525.5,70.5111,-1.108,0.0938,0.151,15.96,484.0,5.4109,15.98,1.483,2.0092,0.0268,23.3453,13.98,3.207,168.0,0.0024,0.8142,16.5264,2684.25,5.2868,0.0,1013.5244,1.55,0.9326,25.1,26.9186,16.3172,4.6879,-0.0692,21.151,40.0023,3.148,0.0,24.3206,21.98,9144.7999,86.9275,3.2,101.9072,145.82,0.2696,65.83,0.0078,0.1096,3.4036,,양품
15.1509,-0.0085,75.2941,-5085.25,63.5111,-0.0473,0.1431,0.173,15.93,4170.0,4.1708,15.93,0.6055,1.9875,0.07,9.1585,13.94,2.647,1848.0,0.0593,0.8139,24.8491,3493.75,6.4395,0.0,1011.7456,0.89,0.933,17.38,30.7471,10.7536,4.6476,-0.0505,21.615,25.939,3.124,756.3636,30.1427,19.34,8416.3099,86.279,3.6,84.6216,144.2645,0.2089,74.54,0.0078,0.1096,3.342,260.078,불량
-2.6636,-0.0077,21.9709,-5626.25,64.1778,0.0946,0.0475,0.104,15.87,179.0,5.8979,15.89,0.3122,1.987,,8.6074,22.25,2.322,72.0,-0.0084,0.8884,22.6636,2776.75,5.7909,0.0,1010.4833,,0.9324,18.21,17.6569,16.9054,4.5894,0.0275,33.837,230.5119,2.947,0.0,30.0241,,9029.42,86.7193,2.3,85.0724,151.0518,0.4211,77.41,0.0078,0.1096,3.3951,259.598,양품
-2.4636,-0.0082,70.5167,-6033.25,62.2889,0.0946,0.058,0.057,15.87,214.0,4.9579,15.89,0.3122,1.97,,9.1502,14.82,2.322,2867.0,-0.0059,0.8884,22.4636,2642.5,5.109,0.0,1010.4833,0.99,0.9238,12.85,20.9587,21.26,4.6188,0.0387,23.526,200.5166,2.947,0.0,30.3538,18.31,8586.46,88.2074,4.9,85.6626,151.1118,0.2991,72.29,0.0078,0.1096,3.1667,259.196,양품
19.3136,-0.0088,42.1053,-5415.75,69.0,-1.204,0.1738,0.115,16.1,163.0,4.2384,15.93,1.252,2.0063,0.0346,10.6376,13.35,3.861,723.0,0.0665,0.8034,20.6864,2569.0,5.5022,0.0016,999.2814,1.88,0.934,16.06,44.2551,9.89,4.6613,-0.1394,19.53,82.4805,2.734,247.4227,29.3844,19.07,9026.6399,87.5105,2.6,84.1874,142.1155,0.2601,79.48,0.0078,0.1096,3.4549,,양품
8.3045,-0.0068,76.8946,-4731.0,60.8444,-0.4258,0.0732,0.926,15.83,3309.0,5.5408,15.82,1.125,1.3322,0.0375,9.1585,18.05,3.2,7569.0,0.0103,0.7692,31.6955,2148.5,5.3695,0.0,1001.9434,1.01,0.93,23.16,12.5641,25.1263,4.6061,-0.0229,35.823,42.0252,2.622,0.0,41.5512,21.2,8152.3899,86.279,3.4,84.6216,151.9836,0.1839,74.54,0.0078,0.1096,3.5132,,양품
5.03,-0.0056,113.0045,-5546.5,69.0667,-0.4258,0.056,0.068,15.83,190.0,5.3607,15.82,1.125,1.9992,0.2139,10.6376,18.38,3.2,299.0,0.015,0.7692,34.97,2632.75,5.1046,0.0,1001.9434,0.7,0.93,21.82,14.6482,23.28,4.6061,-0.0469,33.723,209.3439,2.622,660.0,38.8982,20.24,8925.6301,87.5105,1.9,84.1874,154.9609,0.5747,79.48,0.0078,0.1096,3.4502,262.644,불량
12.0945,-0.0071,41.0619,-3281.0,63.1333,0.0946,0.0633,0.901,15.9,3290.0,5.1749,15.87,1.021,0.8885,0.1467,8.7487,17.38,3.628,7600.0,0.0155,0.7484,27.9055,1523.25,13.9864,0.0,1007.6964,1.09,0.9324,21.91,21.1957,20.0673,4.5894,-0.0263,36.75,56.3064,2.564,0.0,36.6103,19.34,8621.6501,88.2425,2.2,84.0432,151.9427,0.3127,14.41,0.0078,0.1096,3.4174,,양품
23.1373,-0.008,42.7002,-4667.25,61.8667,0.0946,0.0871,0.947,15.9,3417.0,4.9516,15.87,1.021,1.3305,0.0221,9.2007,17.25,3.628,7653.0,0.0253,0.7484,16.8627,2265.5,5.1376,0.0,1007.6964,1.73,0.9323,18.15,23.1448,6.8212,4.5924,-0.009,22.316,40.9296,2.564,740.7407,22.3489,20.03,8844.1101,88.3312,2.7,85.0922,146.8309,0.5791,74.57,0.0078,0.1096,3.4894,,양품
25.0382,-0.0091,96.9697,-5300.25,69.0667,-1.108,0.0806,0.208,15.96,547.0,4.7265,15.98,1.483,2.0105,0.1918,23.3453,17.48,3.207,109.0,0.0266,0.8142,14.9618,2631.0,7.359,0.0,1013.5244,0.67,0.9261,21.28,21.1771,9.691,4.6332,-0.0548,19.308,37.9421,3.148,745.4545,20.2052,20.23,8800.4,86.9275,1.8,101.9072,148.7027,0.3743,65.83,0.0078,0.1096,3.4006,261.338,불량
23.3109,-0.0078,18.0064,-5553.0,69.5556,-0.4258,0.0843,0.103,15.83,169.0,5.1077,15.82,1.125,2.0433,0.0421,8.7495,17.35,3.2,760.0,0.0073,0.7692,16.6891,2616.5,4.7895,0.0,1001.9434,1.34,0.93,12.39,35.1942,8.77,4.6061,-0.0364,35.242,28.6561,2.622,0.0,20.8271,16.73,9295.6198,86.7325,2.0,84.3585,149.5082,0.1643,78.13,0.0078,0.1096,3.4474,,불량
23.9555,-0.0094,49.0667,-5394.0,68.3556,-0.4258,0.0442,0.145,15.83,368.0,5.5385,15.82,1.125,2.0032,0.0244,23.3453,20.02,3.2,157.0,0.0148,0.7692,16.0445,2621.75,6.5073,0.0,1001.9434,,0.9342,22.08,26.7966,11.31,4.6082,-0.0317,34.801,21.2478,2.622,0.0,21.1546,,9073.13,86.9275,2.6,101.9072,148.7136,0.5991,65.83,0.0078,0.1096,3.3783,,불량
21.39,-0.007,90.4847,-2575.5,64.4222,-0.1419,0.0932,0.891,15.82,3294.0,4.665,15.82,0.9933,0.892,0.0354,8.7487,13.41,3.434,5391.0,0.0269,0.7304,18.61,1544.5,16.5926,0.0,1004.0281,0.66,0.9238,13.48,39.9146,20.2036,4.6188,-0.0489,22.387,26.0402,2.598,757.8947,26.658,19.82,8466.2299,88.2425,2.5,84.0432,146.2882,0.4009,14.41,0.0078,0.1096,3.4861,264.014,양품
1.5882,-0.0075,67.8869,-5175.5,67.2667,-0.1419,0.0597,0.163,15.82,207.0,5.5737,15.82,0.9933,2.0,0.2956,10.6376,19.17,3.434,785.0,0.0159,0.7304,38.4118,2589.75,3.5131,0.0,1004.0281,0.92,0.9291,24.07,28.5384,33.8537,4.6615,-0.0172,17.261,0.0,2.598,548.5714,46.7625,19.63,9105.49,87.5105,2.7,84.1874,152.2136,0.4128,79.48,0.0078,0.1096,3.4337,,양품
0.6782,-0.0078,50.0803,-5545.0,64.0778,0.0946,0.0569,0.125,15.9,264.0,4.3439,15.87,1.021,1.9772,,8.8249,12.51,3.628,444.0,-0.0085,0.7484,19.3218,2624.0,13.4387,0.0,1007.6964,,0.9326,8.34,30.8126,16.6618,4.6879,0.0262,22.695,828.6863,2.564,433.7349,27.7301,,9020.2799,86.8889,2.3,85.6591,152.3864,0.35,,0.0078,0.1096,3.4639,261.714,양품
20.0455,-0.007,200.7117,-4520.75,62.3667,0.0946,0.064,0.906,15.9,3278.0,5.3269,15.87,1.021,1.3458,0.1959,9.1784,16.84,3.628,7657.0,0.0083,0.7484,19.9545,2277.75,5.3316,0.0,1007.6964,0.41,0.93,15.21,25.6289,11.3827,4.6061,-0.0472,35.392,48.39,2.564,0.0,26.3171,18.5,8791.82,88.3282,2.1,85.1197,148.3209,0.3146,74.8,0.0078,0.1096,3.502,264.596,양품
21.8964,-0.0087,33.1903,-5683.75,64.7111,0.0946,0.0701,0.1,15.9,618.0,5.4366,15.87,1.021,1.9597,0.0583,9.1784,18.02,3.628,540.0,0.0187,0.7484,18.1036,2713.25,4.9034,0.0,1007.6964,2.05,0.934,17.58,19.9687,9.6273,4.5924,-0.0415,35.844,42.3358,2.564,586.6667,23.5885,23.05,8539.3801,88.3282,3.5,85.1197,152.3964,0.1547,74.8,0.0078,0.1096,3.3201,,양품
