log_id,recorded_at,warehouse,zone,temp_main_C,temp_return_C,humidity_pct,door_open_sec,compressor_hz,defrost_min,power_kw,disposal
CL01473,2026-07-11 05:24,B,냉동2,-16.66,-15.29,90.1,453.0,53.9,0.0,4.38,폐기
CL01679,2026-07-17 09:37,C,냉동1,-18.46,-15.68,83.2,64.0,44.4,0.0,2.912,정상
CL00134,2026-06-04 22:11,A,냉동1,-18.16,-16.04,86.6,22.0,39.3,0.0,2.979,정상
CL01977,2026-07-25 15:27,B,냉동2,-18.24,-15.1,81.9,18.0,54.0,0.0,3.914,정상
CL01978,2026-07-25 16:12,A,냉동2,-17.93,-15.42,75.9,2.0,37.7,11.8,3.224,정상
CL01495,2026-07-11 22:32,C,냉동1,-17.62,-14.9,85.4,24.0,61.1,22.5,4.832,정상
CL01722,2026-07-18 13:29,C,냉동3,-16.84,-13.88,80.1,64.0,50.8,0.0,3.935,정상
CL02768,2026-08-16 06:25,A,냉동2,-18.16,-15.98,81.5,1.0,44.2,0.0,3.231,정상
CL02670,2026-08-13 14:59,A,냉동2,-17.98,-15.61,80.2,47.0,47.7,0.0,3.584,정상
CL02311,2026-08-03 10:29,A,냉동2,-17.39,-14.91,89.3,44.0,54.3,0.0,4.136,정상
CL01945,2026-07-24 17:34,B,냉동2,-17.79,-14.96,87.4,42.0,47.7,0.0,3.794,정상
CL02882,2026-08-19 08:12,C,냉동1,-18.27,-15.64,81.2,53.0,46.8,0.0,2.846,정상
CL01724,2026-07-18 14:24,B,냉동1,-15.25,-11.31,94.4,187.0,63.7,0.0,5.477,폐기
CL02526,2026-08-09 14:31,C,냉동1,-16.95,-14.29,83.7,60.0,53.4,0.0,3.637,정상
CL02706,2026-08-14 13:38,A,냉동3,-19.36,-16.76,92.7,101.0,38.0,0.0,2.77,정상
CL00995,2026-06-28 10:07,B,냉동2,-17.55,-15.05,82.0,31.0,55.6,0.0,4.231,정상
CL03325,2026-09-01 00:09,C,냉동2,-17.59,-14.33,89.5,1.0,50.6,16.0,4.772,정상
CL02334,2026-08-04 01:30,A,냉동1,-18.48,-15.09,83.5,32.0,50.4,0.0,3.613,정상
CL00296,2026-06-09 05:52,B,냉동2,-18.61,-16.21,87.1,28.0,38.9,0.0,2.948,정상
CL00398,2026-06-11 21:08,B,냉동2,-18.04,-16.14,89.9,9.0,44.7,0.0,3.423,정상
CL01491,2026-07-11 20:08,B,냉동2,-18.55,-15.5,81.1,7.0,52.1,0.0,3.967,정상
CL01275,2026-07-05 18:56,A,냉동1,-17.0,-14.47,89.8,45.0,48.1,0.0,3.816,정상
CL01107,2026-07-01 05:35,A,냉동3,-19.18,-15.96,88.9,0.0,44.1,13.2,3.789,정상
CL02243,2026-08-01 16:41,B,냉동2,-17.85,-15.51,86.8,248.0,42.0,0.0,3.068,정상
CL02401,2026-08-06 01:16,B,냉동1,-17.29,-15.01,80.1,13.0,52.6,0.0,4.147,정상
CL00347,2026-06-10 16:59,C,냉동3,-17.95,-15.1,85.2,148.0,46.5,0.0,3.557,정상
CL02387,2026-08-05 16:38,A,냉동1,-17.62,-14.53,86.0,120.0,49.2,25.3,4.394,정상
CL00721,2026-06-20 21:14,A,냉동1,-17.44,-13.99,79.0,22.0,44.1,0.0,3.085,정상
CL01159,2026-07-02 15:01,A,냉동3,-18.21,-15.42,83.4,52.0,45.4,0.0,3.924,정상
CL02310,2026-08-03 09:06,B,냉동1,-16.95,-13.94,83.7,63.0,61.9,0.0,4.538,정상
CL00756,2026-06-21 21:03,A,냉동2,-18.34,-15.47,94.5,26.0,50.6,0.0,3.888,정상
CL00540,2026-06-16 00:55,B,냉동2,-17.65,-15.08,88.2,8.0,55.4,0.0,4.323,정상
CL02590,2026-08-11 09:44,C,냉동1,-17.76,-14.88,90.9,145.0,43.6,0.0,3.102,정상
CL01319,2026-07-07 03:05,C,냉동1,-18.06,-15.4,83.3,14.0,45.8,0.0,3.625,정상
CL01760,2026-07-19 19:53,C,냉동1,-18.49,-15.6,82.5,54.0,45.0,0.0,4.004,정상
CL00856,2026-06-24 15:48,B,냉동2,-17.22,-14.47,91.4,20.0,45.1,0.0,3.515,정상
CL03395,2026-09-02 20:05,B,냉동2,-18.25,-15.2,91.1,9.0,47.8,0.0,3.542,정상
CL00945,2026-06-27 01:27,A,냉동1,-18.21,-14.95,,3.0,44.1,0.0,3.544,정상
CL02842,2026-08-18 06:46,C,냉동2,-19.03,-16.8,88.6,9.0,44.7,0.0,3.464,정상
CL00128,2026-06-04 15:53,B,냉동1,-17.35,-15.26,81.8,113.0,51.8,0.0,3.788,정상
CL02969,2026-08-21 18:54,B,냉동2,-17.76,-14.09,86.9,19.0,53.7,13.9,4.311,정상
CL02010,2026-07-26 11:31,A,냉동1,-17.77,-15.0,83.2,53.0,46.0,0.0,2.996,정상
CL01430,2026-07-10 04:13,A,냉동2,-17.77,-14.4,94.1,42.0,53.7,0.0,4.108,정상
CL00990,2026-06-28 07:56,C,냉동1,-17.94,-14.59,83.7,3.0,49.2,0.0,3.948,정상
CL03378,2026-09-02 08:11,B,냉동1,-17.4,-13.99,84.9,140.0,47.7,0.0,3.78,폐기
CL03284,2026-08-31 00:18,C,냉동1,-17.35,-14.5,88.5,7.0,48.1,0.0,3.288,정상
CL00731,2026-06-21 03:56,A,냉동2,-18.44,-16.2,85.9,7.0,47.8,0.0,3.526,정상
CL01512,2026-07-12 12:01,B,냉동2,-18.31,-16.32,83.9,26.0,45.2,0.0,3.505,정상
CL01424,2026-07-09 23:58,A,냉동1,-18.16,-16.32,94.0,325.0,41.6,0.0,2.817,정상
CL02550,2026-08-10 07:15,C,냉동2,-19.07,-15.63,85.7,5.0,38.5,0.0,3.102,정상
CL02114,2026-07-29 00:19,A,냉동2,-17.97,-15.32,88.7,7.0,46.3,0.0,3.431,정상
CL02061,2026-07-27 15:39,A,냉동1,-17.66,-14.67,84.4,40.0,48.0,0.0,3.995,정상
CL01949,2026-07-24 20:49,B,냉동2,-18.83,-16.68,85.5,14.0,37.7,0.0,3.019,정상
CL01548,2026-07-13 12:26,A,냉동1,-17.46,-14.92,88.4,130.0,47.8,0.0,3.639,정상
CL01444,2026-07-10 12:20,A,냉동1,-18.43,-16.01,86.4,68.0,47.9,0.0,3.852,정상
CL01745,2026-07-19 06:36,A,냉동1,-18.23,-15.41,83.6,8.0,45.5,0.0,3.592,정상
CL02271,2026-08-02 05:25,B,냉동2,-18.31,-14.72,89.9,2.0,44.7,0.0,3.051,정상
CL00772,2026-06-22 05:54,C,냉동2,-18.16,-15.49,90.2,1.0,41.1,0.0,3.042,정상
CL01357,2026-07-08 00:59,B,냉동3,-18.09,-15.54,83.7,12.0,50.4,0.0,4.06,정상
CL01973,2026-07-25 11:06,A,냉동2,-17.19,-14.54,85.6,60.0,55.0,0.0,4.176,정상
CL01727,2026-07-18 17:40,B,냉동3,-17.15,-14.27,91.8,74.0,55.4,0.0,4.355,정상
CL00257,2026-06-08 09:07,B,냉동2,-17.75,-15.22,97.3,62.0,46.9,16.1,3.601,정상
CL00473,2026-06-13 22:17,C,냉동1,-17.38,-14.41,79.5,26.0,53.3,14.7,4.5,정상
CL03371,2026-09-02 04:54,B,냉동1,-18.92,-16.06,81.5,18.0,48.8,0.0,3.616,정상
CL01021,2026-06-29 00:07,B,냉동1,-18.11,-15.5,78.8,30.0,48.1,0.0,3.552,정상
CL02939,2026-08-20 21:33,A,냉동3,-19.22,-16.1,82.8,4.0,42.1,0.0,3.413,정상
CL02840,2026-08-18 05:33,B,냉동3,-18.22,-16.55,87.6,17.0,47.6,0.0,3.399,정상
CL01425,2026-07-10 00:49,B,냉동2,-17.55,-15.14,88.1,6.0,55.2,0.0,4.595,정상
CL00725,2026-06-20 23:49,B,냉동1,-18.65,-16.23,87.8,5.0,37.1,0.0,3.192,정상
CL01151,2026-07-02 10:00,B,냉동1,-17.4,-14.78,79.7,6.0,49.9,0.0,3.847,정상
CL01954,2026-07-24 22:22,C,냉동2,-18.27,-15.65,87.9,1.0,51.1,22.5,4.681,정상
CL02213,2026-07-31 18:18,A,냉동1,-17.98,-15.37,85.9,42.0,47.3,0.0,3.999,정상
CL02690,2026-08-14 01:34,B,냉동1,-18.57,-16.16,85.8,4.0,43.4,0.0,3.614,정상
CL01416,2026-07-09 20:33,A,냉동3,-18.95,-17.18,88.0,4.0,37.9,18.8,3.068,정상
CL01692,2026-07-17 17:41,B,냉동1,-14.78,-11.5,88.8,76.0,60.0,0.0,5.105,폐기
CL01622,2026-07-15 12:13,A,냉동1,-18.02,-15.39,82.8,26.0,39.9,0.0,2.941,정상
CL01157,2026-07-02 14:18,C,냉동2,-17.87,-16.04,77.6,55.0,47.7,0.0,3.113,정상
CL01075,2026-06-30 09:41,B,냉동2,-17.35,-15.02,85.1,21.0,51.2,0.0,4.042,정상
CL01205,2026-07-03 16:38,C,냉동1,-17.18,-13.58,73.6,28.0,53.5,16.6,3.994,정상
CL02346,2026-08-04 09:51,A,냉동3,-17.31,-14.53,78.9,118.0,50.8,0.0,4.217,정상
CL03410,2026-09-03 07:32,A,냉동2,-17.82,-15.61,88.8,5.0,53.7,0.0,4.104,정상
CL02773,2026-08-16 08:56,A,냉동2,-17.18,-14.0,85.7,118.0,51.3,0.0,3.73,정상
CL02875,2026-08-19 03:44,A,냉동2,-17.39,-14.72,81.2,2.0,47.8,0.0,3.816,정상
CL02584,2026-08-11 07:09,B,냉동1,-18.08,-15.89,89.3,14.0,44.1,0.0,3.549,정상
CL02177,2026-07-30 21:34,A,냉동1,-17.67,-15.55,85.8,21.0,55.1,0.0,4.425,정상
CL02217,2026-07-31 21:21,C,냉동1,-18.08,-15.38,82.4,6.0,43.6,0.0,2.947,정상
CL00530,2026-06-15 17:16,B,냉동1,-16.49,-15.34,90.5,195.0,49.5,0.0,3.583,정상
CL02323,2026-08-03 16:52,C,냉동2,-18.67,-16.94,85.7,72.0,40.9,0.0,3.306,정상
CL02182,2026-07-30 23:38,C,냉동3,-18.37,-16.2,87.0,21.0,35.5,0.0,3.011,정상
CL03362,2026-09-01 21:38,B,냉동1,-17.35,-14.5,84.9,11.0,48.7,25.5,4.065,정상
CL02973,2026-08-21 21:43,C,냉동1,-19.3,-16.11,81.7,20.0,37.6,0.0,2.945,정상
CL00641,2026-06-18 16:12,C,냉동2,-18.47,-14.64,92.4,58.0,51.1,0.0,3.95,정상
CL02876,2026-08-19 03:53,C,냉동2,-17.91,-15.06,82.7,1.0,39.9,0.0,3.14,정상
CL01142,2026-07-02 04:34,B,냉동3,-18.33,-14.8,80.9,21.0,40.2,0.0,3.267,정상
CL02299,2026-08-02 22:37,A,냉동3,-18.19,-15.68,87.9,29.0,45.1,0.0,3.431,정상
CL00973,2026-06-27 20:43,C,냉동1,-19.05,-16.15,78.3,11.0,40.4,0.0,2.736,정상
CL02425,2026-08-06 16:48,A,냉동2,-17.55,-14.36,84.2,138.0,53.4,0.0,3.607,정상
CL01580,2026-07-14 07:37,B,냉동2,-17.37,-15.12,87.2,2.0,46.5,0.0,3.93,정상
CL00453,2026-06-13 06:52,B,냉동2,-17.27,-14.74,83.3,8.0,55.9,0.0,4.523,정상
CL02796,2026-08-16 23:43,A,냉동2,-18.45,-16.0,81.6,23.0,42.8,19.8,3.48,정상
CL02418,2026-08-06 12:27,A,냉동1,-17.58,-15.14,83.4,35.0,63.2,0.0,4.526,정상
CL01122,2026-07-01 16:47,A,냉동2,-19.48,-16.91,84.7,39.0,37.9,0.0,2.981,정상
CL00658,2026-06-19 03:01,C,냉동3,-17.64,-14.56,82.8,7.0,48.6,0.0,3.479,정상
CL01859,2026-07-22 11:27,A,냉동1,-17.54,-14.56,87.9,60.0,47.5,0.0,3.923,정상
CL00156,2026-06-05 13:07,B,냉동1,-18.92,-15.71,,72.0,37.1,13.9,3.008,정상
CL01010,2026-06-28 17:00,B,냉동2,-18.26,-15.25,89.2,4.0,49.3,0.0,4.107,정상
CL01093,2026-06-30 21:06,C,냉동1,-17.16,-14.68,82.9,6.0,48.8,0.0,3.932,정상
CL01055,2026-06-29 22:11,C,냉동2,-18.7,-15.72,85.0,3.0,43.8,0.0,3.317,정상
CL02724,2026-08-14 23:11,C,냉동1,-17.75,-14.77,85.5,12.0,53.9,0.0,3.964,정상
CL00313,2026-06-09 18:28,C,냉동3,-19.14,-15.75,86.6,121.0,42.9,0.0,3.546,정상
CL02403,2026-08-06 01:22,B,냉동2,-17.57,-14.75,85.6,4.0,46.6,0.0,3.672,정상
CL02282,2026-08-02 10:58,C,냉동1,-17.54,-14.87,82.7,44.0,50.3,0.0,3.745,폐기
CL01496,2026-07-12 00:03,C,냉동2,-18.46,-15.68,82.3,3.0,48.7,0.0,3.888,정상
CL00715,2026-06-20 17:47,B,냉동2,-17.12,-14.43,90.4,57.0,50.8,0.0,4.087,정상
CL03220,2026-08-29 01:19,B,냉동3,-17.62,-14.85,82.8,1.0,42.2,0.0,2.918,정상
CL02283,2026-08-02 11:15,C,냉동1,-17.64,-14.77,84.3,77.0,49.3,0.0,3.557,정상
CL03001,2026-08-22 19:49,A,냉동3,-17.74,-14.59,93.3,34.0,44.9,0.0,3.748,정상
CL02083,2026-07-28 03:58,A,냉동1,-18.31,-15.39,87.0,3.0,40.1,0.0,2.917,정상
CL00378,2026-06-11 10:35,A,냉동2,-17.71,-14.83,82.3,28.0,49.6,0.0,3.63,정상
CL02989,2026-08-22 09:52,B,냉동1,-16.7,-14.36,92.1,100.0,53.8,0.0,4.066,정상
CL01246,2026-07-04 21:14,C,냉동3,-18.03,-15.32,83.8,15.0,45.8,0.0,3.67,정상
CL02144,2026-07-29 22:32,A,냉동2,-19.19,-16.58,81.9,31.0,38.0,0.0,2.643,정상
CL00502,2026-06-14 23:55,C,냉동3,-19.25,-16.08,82.9,52.0,37.6,0.0,2.96,정상
CL01630,2026-07-15 19:02,A,냉동3,-17.95,-15.27,90.5,111.0,51.4,0.0,3.765,정상
CL00741,2026-06-21 11:24,B,냉동2,-17.23,-14.69,81.2,71.0,46.4,0.0,3.807,정상
CL01488,2026-07-11 17:57,C,냉동3,-18.4,-15.59,87.1,63.0,37.9,0.0,2.519,정상
CL00847,2026-06-24 08:45,B,냉동1,-17.22,-14.55,81.3,33.0,47.0,0.0,3.567,정상
CL01316,2026-07-07 01:43,B,냉동2,-18.41,-15.94,78.2,6.0,51.2,0.0,3.621,정상
CL00397,2026-06-11 20:49,A,냉동1,-18.08,-15.14,84.0,9.0,45.7,0.0,3.466,정상
CL00744,2026-06-21 13:28,A,냉동2,-17.4,-14.51,83.3,43.0,51.9,0.0,3.698,정상
CL01557,2026-07-13 18:53,A,냉동3,-18.1,-15.43,96.9,42.0,46.4,0.0,3.24,정상
CL03331,2026-09-01 03:21,B,냉동1,-17.61,-14.29,83.9,46.0,47.9,0.0,3.601,정상
CL02524,2026-08-09 12:49,C,냉동2,-17.09,-14.11,74.4,23.0,54.9,0.0,4.251,정상
CL02225,2026-08-01 04:11,C,냉동2,-16.91,-14.12,87.1,3.0,44.5,0.0,3.626,정상
CL00152,2026-06-05 09:30,A,냉동2,-18.93,-16.07,88.3,33.0,34.6,16.3,3.082,정상
CL00093,2026-06-03 11:05,B,냉동1,-18.05,-14.94,86.3,32.0,43.3,0.0,3.3,정상
CL02037,2026-07-26 21:48,A,냉동1,-16.8,-14.42,78.7,26.0,57.3,0.0,4.941,정상
CL01834,2026-07-21 17:36,B,냉동2,-17.57,-14.82,95.1,57.0,55.3,0.0,3.97,정상
CL02594,2026-08-11 14:45,A,냉동1,-15.94,-15.63,92.0,258.0,51.8,0.0,4.05,폐기
CL01324,2026-07-07 06:39,A,냉동3,-18.3,-15.14,84.6,21.0,42.2,0.0,3.466,정상
CL00561,2026-06-16 14:53,B,냉동3,-17.32,-14.08,87.0,166.0,50.3,0.0,3.955,정상
CL00298,2026-06-09 07:28,B,냉동3,-18.0,-15.31,74.0,9.0,46.2,0.0,3.43,정상
CL02070,2026-07-27 22:02,B,냉동1,-18.11,-16.19,86.0,3.0,54.2,0.0,3.87,정상
CL00018,2026-06-01 08:58,B,냉동2,-18.01,-14.79,85.4,55.0,47.2,0.0,3.251,정상
CL01946,2026-07-24 18:48,C,냉동1,-18.11,-15.43,94.0,93.0,45.4,0.0,3.677,정상
CL00554,2026-06-16 12:06,C,냉동1,-18.36,-15.7,92.6,21.0,48.7,0.0,3.322,정상
CL00241,2026-06-08 01:02,C,냉동3,-17.89,-15.28,83.6,12.0,48.5,0.0,3.971,정상
CL02901,2026-08-19 22:18,B,냉동1,-18.0,-15.2,,44.0,45.1,0.0,3.364,정상
CL03317,2026-08-31 18:24,B,냉동1,-18.48,-16.28,93.1,43.0,54.7,0.0,4.259,정상
CL01165,2026-07-02 17:15,C,냉동1,-17.81,-16.08,83.0,50.0,48.3,0.0,3.678,정상
CL00058,2026-06-02 13:55,B,냉동2,-18.08,-15.27,81.6,28.0,49.4,0.0,3.293,정상
CL01479,2026-07-11 11:07,A,냉동2,-17.34,-14.93,84.8,57.0,45.6,0.0,3.755,정상
CL01629,2026-07-15 17:43,A,냉동3,-18.47,-15.74,91.8,16.0,40.1,0.0,3.04,정상
CL01303,2026-07-06 17:25,A,냉동3,-17.9,-15.27,89.6,90.0,59.3,19.0,4.859,정상
CL01289,2026-07-06 07:40,B,냉동3,-17.97,-14.71,,16.0,44.9,0.0,3.213,정상
CL00281,2026-06-08 22:03,A,냉동1,-17.75,-14.76,86.3,23.0,44.0,0.0,3.257,정상
CL00547,2026-06-16 07:34,B,냉동1,-17.97,-15.86,73.7,1.0,48.6,0.0,3.91,정상
CL03389,2026-09-02 16:06,A,냉동3,-17.43,-14.29,82.7,23.0,51.7,0.0,3.929,정상
CL02156,2026-07-30 05:31,C,냉동1,-18.47,-15.62,88.3,14.0,40.8,11.9,3.265,정상
CL00966,2026-06-27 14:21,C,냉동2,-17.7,-15.8,85.2,36.0,49.1,0.0,3.977,정상
CL00687,2026-06-19 21:03,B,냉동3,-19.45,-17.06,81.5,48.0,43.4,0.0,3.102,정상
CL02428,2026-08-06 18:46,C,냉동1,-17.9,-15.8,85.8,95.0,50.7,21.3,4.342,정상
CL02135,2026-07-29 15:42,B,냉동3,-17.65,-14.37,87.6,30.0,47.6,0.0,3.489,정상
CL01199,2026-07-03 12:41,B,냉동2,-17.26,-15.16,83.8,14.0,48.1,0.0,3.297,정상
CL01274,2026-07-05 18:06,A,냉동2,-18.34,-16.18,80.8,39.0,44.5,0.0,3.555,정상
CL00184,2026-06-06 06:31,C,냉동2,-17.47,-15.1,91.9,18.0,47.4,11.2,3.733,정상
CL01467,2026-07-11 01:12,A,냉동3,-18.5,-16.55,80.9,17.0,44.0,0.0,3.893,정상
CL01678,2026-07-17 08:47,B,냉동3,-14.88,-11.59,86.6,54.0,67.4,0.0,5.478,폐기
CL00797,2026-06-22 23:28,A,냉동3,-17.83,-15.02,78.9,5.0,46.6,0.0,3.411,정상
CL01471,2026-07-11 03:56,A,냉동1,-17.9,-14.91,91.9,2.0,50.7,0.0,3.889,정상
CL00872,2026-06-25 05:07,A,냉동1,-18.09,-15.5,88.4,20.0,48.1,0.0,3.412,정상
CL02141,2026-07-29 20:56,C,냉동1,-18.74,-16.4,86.3,29.0,43.0,0.0,3.447,정상
CL01470,2026-07-11 03:03,A,냉동1,-16.17,-14.87,100.1,321.0,50.3,0.0,4.05,정상
CL01087,2026-06-30 16:56,A,냉동2,-17.82,-15.03,84.0,112.0,56.3,0.0,4.487,정상
CL02682,2026-08-13 22:04,C,냉동1,-18.1,-15.63,82.3,8.0,52.6,0.0,3.739,정상
CL00472,2026-06-13 21:41,B,냉동2,-18.62,-16.03,79.3,9.0,45.3,0.0,3.591,정상
CL00430,2026-06-12 16:17,A,냉동3,-17.71,-15.65,83.0,23.0,57.7,0.0,4.44,정상
CL01538,2026-07-13 06:11,A,냉동1,-17.87,-15.34,90.2,1.0,43.5,0.0,3.759,정상
CL01365,2026-07-08 10:26,C,냉동3,-17.57,-14.56,90.9,59.0,49.7,0.0,3.846,정상
CL02046,2026-07-27 04:46,B,냉동1,-18.57,-15.97,84.9,21.0,42.3,0.0,3.483,정상
CL01721,2026-07-18 12:11,B,냉동2,-15.46,-11.8,91.1,144.0,56.8,0.0,4.604,폐기
CL02566,2026-08-10 20:55,A,냉동2,-17.77,-15.64,79.1,9.0,46.7,0.0,3.912,정상
CL00190,2026-06-06 10:33,C,냉동1,-18.27,-15.27,81.7,65.0,43.7,0.0,3.339,정상
CL01016,2026-06-28 21:44,B,냉동2,-18.46,-16.09,84.9,22.0,46.1,0.0,4.077,정상
CL02915,2026-08-20 05:31,A,냉동3,-18.88,-16.12,93.4,23.0,39.7,0.0,2.798,정상
CL00361,2026-06-11 00:44,C,냉동1,-18.78,-16.16,87.3,28.0,34.6,0.0,2.355,정상
CL01172,2026-07-02 21:37,A,냉동1,-18.3,-15.51,87.4,12.0,49.8,0.0,3.617,정상
CL00572,2026-06-16 22:42,C,냉동2,-18.02,-15.23,79.3,21.0,42.6,0.0,3.502,정상
CL01317,2026-07-07 01:58,C,냉동3,-17.5,-14.95,91.8,12.0,46.9,0.0,3.374,정상
CL00158,2026-06-05 14:57,A,냉동3,-17.31,-15.09,86.1,21.0,41.2,0.0,3.113,정상
CL01543,2026-07-13 08:29,C,냉동1,-18.85,-15.49,90.3,47.0,36.9,15.2,3.199,정상
CL01850,2026-07-22 04:16,C,냉동2,-18.88,-16.94,90.7,27.0,44.8,0.0,3.604,정상
CL01604,2026-07-14 23:00,C,냉동1,-18.85,-16.66,84.7,6.0,40.3,0.0,3.297,정상
CL03099,2026-08-25 11:20,B,냉동2,-17.99,-15.71,81.7,67.0,47.4,0.0,3.731,정상
CL02452,2026-08-07 13:36,A,냉동3,-18.89,-16.19,89.6,45.0,35.2,0.0,3.015,정상
CL01095,2026-06-30 21:42,A,냉동1,-18.22,-15.98,84.1,16.0,46.9,11.1,3.632,정상
CL03277,2026-08-30 19:24,B,냉동2,-18.32,-15.95,85.8,47.0,47.5,0.0,3.519,정상
CL01280,2026-07-06 00:11,A,냉동3,-16.39,-13.95,94.5,296.0,48.0,0.0,3.587,정상
CL00813,2026-06-23 12:49,C,냉동1,-17.22,-13.93,87.9,67.0,49.1,0.0,3.678,정상
CL02645,2026-08-13 00:20,A,냉동1,-18.51,-16.1,92.5,19.0,45.0,0.0,3.497,정상
CL00245,2026-06-08 03:13,C,냉동1,-17.18,-15.34,89.6,23.0,49.7,0.0,3.997,정상
CL00927,2026-06-26 13:38,C,냉동3,-18.4,-15.84,84.4,76.0,49.1,0.0,4.36,정상
CL00838,2026-06-24 02:59,B,냉동1,-19.16,-16.78,79.0,22.0,29.1,0.0,2.361,정상
CL03256,2026-08-30 06:21,A,냉동2,-18.07,-15.85,83.7,17.0,46.9,0.0,3.2,정상
CL02069,2026-07-27 21:13,A,냉동2,-18.3,-16.41,87.0,6.0,44.7,0.0,3.433,정상
CL03345,2026-09-01 12:49,A,냉동2,-17.56,-14.29,85.5,6.0,50.7,0.0,3.765,정상
CL03347,2026-09-01 13:35,A,냉동1,-17.56,-14.65,85.7,86.0,43.4,0.0,3.148,정상
CL01153,2026-07-02 12:52,B,냉동2,-17.69,-15.64,86.5,32.0,41.4,0.0,3.336,정상
CL01789,2026-07-20 14:12,C,냉동1,-17.65,-14.94,88.4,17.0,50.4,0.0,3.313,정상
CL02914,2026-08-20 05:20,A,냉동1,-17.76,-15.63,83.4,12.0,47.9,0.0,3.856,정상
CL02982,2026-08-22 03:27,B,냉동3,-17.65,-14.63,82.6,21.0,47.4,0.0,3.288,정상
