lot_id,produced_at,plant_code,line_id,shift,product,fill_error,cap_torque,seal_temp,line_speed,ambient_temp,ambient_humidity,result
L00061,2026-04-02 06:13,P-SEOUL-01,F-3,주간,2L,-0.62,2.29,177.3,383,20.9,52.6,합격
L00062,2026-04-02 06:17,P-SEOUL-01,F-1,주간,500mL,0.54,2.04,177.8,391,23.1,42.9,합격
L00063,2026-04-02 06:27,P-SEOUL-01,F-2,주간,500mL,1.26,2.03,180.3,411,24.1,57.4,합격
L00064,2026-04-02 07:37,P-SEOUL-01,F-3,주간,500mL,-1.59,1.9,179.7,389,30.0,59.8,합격
L00065,2026-04-02 08:11,P-SEOUL-01,F-1,주간,1L,0.27,2.14,179.6,395,28.2,59.7,합격
L00066,2026-04-02 08:12,P-SEOUL-01,F-1,주간,500mL,-0.12,2.3,179.8,405,25.2,46.0,합격
L00067,2026-04-02 08:32,P-SEOUL-01,F-1,주간,500mL,1.73,2.18,182.9,415,22.5,51.9,합격
L00068,2026-04-02 08:36,P-SEOUL-01,F-2,주간,500mL,1.71,2.07,178.8,387,28.1,68.7,합격
L00069,2026-04-02 08:59,P-SEOUL-01,F-1,주간,1L,0.57,2.21,177.2,421,26.0,41.8,합격
L00070,2026-04-02 09:02,P-SEOUL-01,F-1,주간,1L,1.37,2.34,179.5,390,28.4,53.3,합격
L00071,2026-04-02 09:38,P-SEOUL-01,F-1,주간,500mL,-0.64,2.21,178.7,405,21.9,56.3,합격
L00072,2026-04-02 09:43,P-SEOUL-01,F-2,주간,2L,0.26,2.35,178.1,398,22.5,49.3,합격
L00073,2026-04-02 09:43,P-SEOUL-01,F-2,주간,2L,-1.3,2.06,179.1,414,24.5,28.4,합격
L00074,2026-04-02 10:02,P-SEOUL-01,F-1,주간,500mL,-0.19,2.19,182.2,418,22.4,56.4,합격
L00075,2026-04-02 10:22,P-SEOUL-01,F-3,주간,2L,1.45,2.13,180.2,392,31.0,40.4,합격
L00076,2026-04-02 10:34,P-SEOUL-01,F-1,주간,500mL,0.33,2.1,180.3,406,21.7,56.5,합격
L00077,2026-04-02 11:54,P-SEOUL-01,F-2,주간,2L,-1.4,1.99,178.0,409,29.2,58.8,합격
L00078,2026-04-02 12:08,P-SEOUL-01,F-2,주간,500mL,-0.69,1.92,182.5,384,23.9,42.8,합격
L00079,2026-04-02 12:27,P-SEOUL-01,F-1,주간,500mL,1.47,2.23,180.6,395,25.1,60.4,합격
L00080,2026-04-02 13:04,P-SEOUL-01,F-3,주간,500mL,1.23,2.18,182.8,401,17.0,44.7,합격
L00081,2026-04-02 13:12,P-SEOUL-01,F-2,주간,500mL,-0.21,2.15,181.1,391,20.7,63.9,합격
L00082,2026-04-02 13:39,P-SEOUL-01,F-1,주간,500mL,-0.32,2.21,180.4,403,23.0,46.2,합격
L00083,2026-04-02 14:03,P-SEOUL-01,F-2,오후,500mL,-0.7,2.07,178.7,406,21.3,59.3,합격
L00084,2026-04-02 14:59,P-SEOUL-01,F-3,오후,500mL,0.96,2.15,177.8,391,23.9,47.9,합격
L00085,2026-04-02 16:00,P-SEOUL-01,F-2,오후,2L,0.45,1.88,180.3,390,23.1,,합격
L00086,2026-04-02 16:01,P-SEOUL-01,F-2,오후,2L,1.86,2.26,179.5,408,22.2,47.3,합격
L00087,2026-04-02 16:12,P-SEOUL-01,F-1,오후,2L,-0.52,2.14,180.8,393,17.1,55.5,합격
L00088,2026-04-02 16:48,P-SEOUL-01,F-1,오후,1L,0.58,2.21,177.9,411,23.2,51.0,합격
L00089,2026-04-02 16:57,P-SEOUL-01,F-1,오후,500mL,-1.74,2.05,182.5,411,25.0,52.4,합격
L00090,2026-04-02 17:32,P-SEOUL-01,F-3,오후,500mL,-0.08,2.02,182.8,387,17.0,53.1,합격
L00091,2026-04-02 18:09,P-SEOUL-01,F-1,오후,500mL,2.13,2.15,181.3,397,20.0,54.5,합격
L00092,2026-04-02 18:15,P-SEOUL-01,F-2,오후,500mL,1.66,1.93,181.4,399,20.5,56.7,합격
L00093,2026-04-02 19:20,P-SEOUL-01,F-2,오후,500mL,-1.03,2.04,179.0,419,20.8,54.3,합격
L00094,2026-04-02 19:23,P-SEOUL-01,F-1,오후,1L,-0.99,2.14,177.9,389,24.7,47.0,합격
L00095,2026-04-02 19:32,P-SEOUL-01,F-2,오후,500mL,-2.03,1.79,180.6,388,25.7,74.0,합격
L00096,2026-04-02 19:36,P-SEOUL-01,F-1,오후,500mL,0.54,2.2,177.9,389,25.2,30.4,합격
L00097,2026-04-02 19:44,P-SEOUL-01,F-3,오후,500mL,0.1,2.22,182.6,402,24.3,71.9,합격
L00098,2026-04-02 20:49,P-SEOUL-01,F-1,오후,1L,0.02,2.14,178.8,398,26.5,57.8,합격
L00099,2026-04-02 21:28,P-SEOUL-01,F-1,오후,500mL,-2.38,2.06,179.4,399,16.8,47.7,합격
L00100,2026-04-02 21:29,P-SEOUL-01,F-3,오후,500mL,-0.39,2.09,179.5,409,21.8,57.0,합격
L00101,2026-04-02 21:54,P-SEOUL-01,F-2,오후,2L,0.62,2.29,180.6,400,25.3,43.8,합격
L00102,2026-04-02 22:07,P-SEOUL-01,F-1,야간,1L,-0.33,2.12,177.3,404,28.5,41.1,합격
L00103,2026-04-02 23:03,P-SEOUL-01,F-2,야간,2L,-0.73,1.95,178.6,385,21.8,60.0,합격
L00104,2026-04-02 23:13,P-SEOUL-01,F-1,야간,2L,0.92,2.12,176.5,388,23.6,44.8,합격
L00105,2026-04-02 23:49,P-SEOUL-01,F-1,야간,500mL,0.28,,178.1,395,15.5,66.1,합격
L00106,2026-04-03 00:39,P-SEOUL-01,F-2,야간,500mL,-0.05,2.06,181.3,403,16.8,41.3,합격
L00107,2026-04-03 00:39,P-SEOUL-01,F-2,야간,500mL,-0.79,2.14,177.7,377,22.3,58.1,합격
L00108,2026-04-03 01:31,P-SEOUL-01,F-2,야간,500mL,1.88,2.02,181.4,409,20.9,52.8,합격
L00109,2026-04-03 02:57,P-SEOUL-01,F-3,야간,1L,-0.16,2.06,179.1,421,23.8,,합격
L00110,2026-04-03 03:31,P-SEOUL-01,F-1,야간,2L,3.43,1.9,181.5,398,25.4,60.8,재검
L00111,2026-04-03 04:10,P-SEOUL-01,F-3,야간,1L,0.03,1.89,178.9,390,20.5,53.2,합격
L00112,2026-04-03 04:38,P-SEOUL-01,F-1,야간,1L,0.16,2.04,182.3,416,21.6,34.0,합격
L00113,2026-04-03 05:32,P-SEOUL-01,F-2,야간,1L,-1.05,2.12,181.5,389,20.2,59.1,합격
L00114,2026-04-03 06:35,P-SEOUL-01,F-2,주간,1L,1.88,,184.2,405,22.5,41.6,합격
L00115,2026-04-03 06:42,P-SEOUL-01,F-2,주간,500mL,-0.41,2.12,179.5,397,21.6,48.3,합격
L00116,2026-04-03 06:50,P-SEOUL-01,F-3,주간,1L,1.23,2.09,178.5,426,16.7,71.4,합격
L00117,2026-04-03 06:50,P-SEOUL-01,F-3,주간,1L,1.85,2.23,178.2,409,23.0,56.5,합격
L00118,2026-04-03 08:07,P-SEOUL-01,F-3,주간,500mL,0.54,1.97,179.3,386,25.4,48.0,합격
L00119,2026-04-03 09:32,P-SEOUL-01,F-2,주간,500mL,0.74,2.16,177.3,380,25.1,40.2,합격
L00120,2026-04-03 10:14,P-SEOUL-01,F-3,주간,1L,-0.44,1.99,179.2,404,27.3,53.2,합격
L00121,2026-04-03 10:35,P-SEOUL-01,F-1,주간,1L,-0.24,1.99,179.1,383,27.7,50.7,합격
L00122,2026-04-03 10:47,P-SEOUL-01,F-2,주간,1L,-0.31,2.11,177.7,418,14.3,49.2,합격
L00123,2026-04-03 10:48,P-SEOUL-01,F-2,주간,2L,-0.37,2.01,179.5,393,26.6,40.6,합격
L00124,2026-04-03 11:13,P-SEOUL-01,F-3,주간,2L,0.27,2.15,181.5,408,29.0,39.8,합격
L00125,2026-04-03 11:32,P-SEOUL-01,F-3,주간,2L,-1.7,2.02,183.1,398,27.8,56.0,합격
L00126,2026-04-03 12:23,P-SEOUL-01,F-3,주간,2L,-0.09,1.98,178.6,383,21.3,48.1,합격
L00127,2026-04-03 12:56,P-SEOUL-01,F-3,주간,1L,0.35,,182.1,391,19.8,59.7,합격
L00128,2026-04-03 13:47,P-SEOUL-01,F-3,주간,1L,1.7,2.22,178.9,397,24.5,53.5,합격
L00129,2026-04-03 14:15,P-SEOUL-01,F-3,오후,500mL,-0.85,2.21,180.6,411,19.1,40.3,합격
L00130,2026-04-03 15:23,P-SEOUL-01,F-2,오후,500mL,1.77,2.36,180.3,386,26.1,45.2,합격
L00131,2026-04-03 15:55,P-SEOUL-01,F-1,오후,500mL,0.45,2.3,177.1,398,20.4,47.7,합격
L00132,2026-04-03 16:15,P-SEOUL-01,F-2,오후,500mL,0.53,2.11,179.3,380,27.6,51.6,합격
L00133,2026-04-03 16:27,P-SEOUL-01,F-3,오후,500mL,0.56,,181.6,390,21.1,45.8,합격
L00134,2026-04-03 16:34,P-SEOUL-01,F-1,오후,500mL,-0.12,2.11,177.2,405,25.4,45.6,합격
L00135,2026-04-03 16:36,P-SEOUL-01,F-3,오후,500mL,0.15,2.02,180.9,384,25.7,41.9,합격
L00136,2026-04-03 16:39,P-SEOUL-01,F-2,오후,500mL,-0.42,2.11,177.6,398,27.6,55.4,합격
L00137,2026-04-03 16:41,P-SEOUL-01,F-3,오후,500mL,-0.35,2.41,182.0,406,23.3,44.6,합격
L00138,2026-04-03 16:58,P-SEOUL-01,F-1,오후,1L,-1.22,1.93,180.9,412,29.4,56.9,합격
L00139,2026-04-03 17:33,P-SEOUL-01,F-1,오후,500mL,-1.12,2.25,180.5,407,23.2,53.5,합격
L00140,2026-04-03 18:03,P-SEOUL-01,F-3,오후,500mL,0.07,2.14,178.8,402,22.9,76.1,합격
L00141,2026-04-03 18:43,P-SEOUL-01,F-1,오후,500mL,-1.04,2.0,181.3,400,24.7,56.7,합격
L00142,2026-04-03 18:48,P-SEOUL-01,F-2,오후,2L,0.24,2.11,180.5,393,27.3,49.5,합격
L00143,2026-04-03 19:06,P-SEOUL-01,F-3,오후,500mL,-4.38,1.88,180.0,400,23.2,48.7,재검
L00144,2026-04-03 20:29,P-SEOUL-01,F-2,오후,1L,0.19,2.46,184.7,407,21.5,60.0,합격
L00145,2026-04-03 20:41,P-SEOUL-01,F-1,오후,1L,0.97,2.11,181.7,398,19.8,53.9,합격
L00146,2026-04-03 20:49,P-SEOUL-01,F-3,오후,500mL,0.18,1.94,183.7,404,20.8,49.6,합격
L00147,2026-04-03 21:00,P-SEOUL-01,F-2,오후,500mL,-0.32,2.24,179.1,404,20.8,46.6,합격
L00148,2026-04-03 21:17,P-SEOUL-01,F-2,오후,500mL,-0.01,2.03,181.3,413,20.7,50.6,합격
L00149,2026-04-03 22:08,P-SEOUL-01,F-3,야간,1L,-0.54,1.37,181.1,404,24.8,60.5,재검
L00150,2026-04-03 23:52,P-SEOUL-01,F-2,야간,1L,-0.25,,182.1,390,23.3,52.0,합격
L00151,2026-04-03 23:54,P-SEOUL-01,F-1,야간,500mL,-0.64,1.83,182.7,401,28.0,37.4,합격
L00152,2026-04-04 00:04,P-SEOUL-01,F-2,야간,500mL,-0.27,1.76,180.7,401,22.1,35.9,합격
L00153,2026-04-04 00:31,P-SEOUL-01,F-3,야간,500mL,1.23,1.84,178.9,405,23.1,42.9,합격
L00154,2026-04-04 00:32,P-SEOUL-01,F-3,야간,2L,1.53,2.13,181.8,417,19.8,61.1,합격
L00155,2026-04-04 00:44,P-SEOUL-01,F-2,야간,500mL,0.82,1.93,181.4,398,26.2,45.3,재검
L00156,2026-04-04 00:51,P-SEOUL-01,F-1,야간,500mL,-0.05,2.0,180.3,386,15.2,54.6,합격
L00157,2026-04-04 01:00,P-SEOUL-01,F-1,야간,500mL,-0.54,1.91,179.8,397,24.3,60.5,합격
L00158,2026-04-04 01:30,P-SEOUL-01,F-2,야간,500mL,-0.78,1.98,176.4,389,27.2,39.9,합격
L00159,2026-04-04 02:09,P-SEOUL-01,F-2,야간,2L,-0.35,1.47,180.2,401,20.3,51.0,재검
L00160,2026-04-04 02:10,P-SEOUL-01,F-3,야간,1L,0.11,1.96,181.2,387,20.9,41.3,합격
L00161,2026-04-04 02:13,P-SEOUL-01,F-2,야간,500mL,-0.39,1.97,180.9,385,23.6,44.9,합격
L00162,2026-04-04 02:18,P-SEOUL-01,F-1,야간,1L,0.12,2.14,182.4,392,20.9,38.0,합격
L00163,2026-04-04 03:23,P-SEOUL-01,F-2,야간,2L,0.79,1.81,178.9,394,15.8,39.6,합격
L00164,2026-04-04 04:04,P-SEOUL-01,F-1,야간,500mL,0.12,2.05,176.8,404,24.5,58.5,합격
L00165,2026-04-04 04:13,P-SEOUL-01,F-1,야간,500mL,4.58,1.93,183.5,398,24.9,47.6,재검
L00166,2026-04-04 04:27,P-SEOUL-01,F-2,야간,500mL,1.48,1.95,178.5,405,23.3,48.5,합격
L00167,2026-04-04 06:07,P-SEOUL-01,F-1,주간,2L,0.43,2.07,176.3,391,20.6,56.0,합격
L00168,2026-04-04 06:15,P-SEOUL-01,F-2,주간,1L,-0.54,2.11,179.3,381,24.7,57.6,합격
L00169,2026-04-04 06:16,P-SEOUL-01,F-2,주간,2L,0.01,2.15,182.7,374,17.2,67.1,합격
L00170,2026-04-04 06:17,P-SEOUL-01,F-1,주간,500mL,0.49,2.1,179.6,387,17.1,53.5,합격
L00171,2026-04-04 08:55,P-SEOUL-01,F-1,주간,500mL,0.01,1.92,177.2,392,25.0,50.8,합격
L00172,2026-04-04 09:00,P-SEOUL-01,F-2,주간,500mL,0.71,1.9,177.5,410,27.9,55.4,합격
L00173,2026-04-04 09:07,P-SEOUL-01,F-2,주간,1L,-0.26,2.3,179.2,388,25.5,50.5,합격
L00174,2026-04-04 09:41,P-SEOUL-01,F-3,주간,2L,0.9,2.15,182.1,413,23.1,52.4,합격
L00175,2026-04-04 09:45,P-SEOUL-01,F-2,주간,1L,1.12,2.04,179.6,405,29.4,37.1,합격
L00176,2026-04-04 10:06,P-SEOUL-01,F-2,주간,500mL,0.57,1.93,177.5,396,24.6,44.5,합격
L00177,2026-04-04 12:41,P-SEOUL-01,F-1,주간,500mL,0.41,2.38,180.4,393,23.8,52.0,합격
L00178,2026-04-04 12:46,P-SEOUL-01,F-3,주간,1L,1.6,1.93,175.4,364,30.0,37.4,합격
L00179,2026-04-04 13:59,P-SEOUL-01,F-1,주간,1L,0.25,2.03,176.5,410,21.7,62.6,합격
L00180,2026-04-04 15:10,P-SEOUL-01,F-3,오후,500mL,-0.87,2.24,183.7,421,27.6,47.4,합격
L00181,2026-04-04 15:35,P-SEOUL-01,F-2,오후,500mL,-1.35,2.07,184.0,400,22.1,57.5,합격
L00182,2026-04-04 16:08,P-SEOUL-01,F-1,오후,2L,0.45,2.18,179.9,396,26.5,52.9,합격
L00183,2026-04-04 16:52,P-SEOUL-01,F-2,오후,500mL,-1.6,2.01,178.0,397,25.8,53.7,합격
L00184,2026-04-04 17:04,P-SEOUL-01,F-1,오후,2L,-1.42,2.15,182.3,408,23.9,64.6,합격
L00185,2026-04-04 17:24,P-SEOUL-01,F-3,오후,500mL,-0.15,2.18,179.3,403,24.4,54.6,합격
L00186,2026-04-04 17:48,P-SEOUL-01,F-2,오후,1L,-0.55,2.13,181.7,390,28.4,47.1,합격
L00187,2026-04-04 18:48,P-SEOUL-01,F-3,오후,1L,-1.42,1.83,180.4,393,22.7,59.0,합격
L00188,2026-04-04 19:06,P-SEOUL-01,F-1,오후,1L,0.4,2.17,180.1,399,28.0,44.7,합격
L00189,2026-04-04 19:16,P-SEOUL-01,F-2,오후,2L,-0.0,2.14,177.7,403,25.4,42.5,합격
L00190,2026-04-04 19:31,P-SEOUL-01,F-3,오후,1L,-0.3,2.14,178.3,413,23.7,57.4,합격
L00191,2026-04-04 19:38,P-SEOUL-01,F-2,오후,1L,-0.75,1.99,182.9,410,24.3,77.0,합격
L00192,2026-04-04 20:35,P-SEOUL-01,F-1,오후,2L,-0.89,2.13,177.6,391,21.9,44.8,합격
L00193,2026-04-04 20:46,P-SEOUL-01,F-2,오후,2L,-0.57,2.18,178.3,430,22.8,43.5,합격
L00194,2026-04-04 20:57,P-SEOUL-01,F-1,오후,1L,0.16,2.13,178.8,405,16.8,42.2,합격
L00195,2026-04-04 21:09,P-SEOUL-01,F-3,오후,1L,0.1,2.16,179.3,402,24.0,61.7,합격
L00196,2026-04-04 21:48,P-SEOUL-01,F-1,오후,2L,0.13,2.34,179.6,403,15.4,58.3,합격
L00197,2026-04-04 22:38,P-SEOUL-01,F-2,야간,1L,-0.79,1.88,180.1,399,20.8,46.8,합격
L00198,2026-04-04 22:41,P-SEOUL-01,F-1,야간,500mL,-0.3,2.07,180.1,383,21.5,45.0,합격
L00199,2026-04-04 23:19,P-SEOUL-01,F-1,야간,500mL,-0.31,2.11,179.3,397,25.5,59.4,합격
L00200,2026-04-05 00:14,P-SEOUL-01,F-2,야간,500mL,0.17,2.02,176.6,406,27.4,59.0,합격
L00201,2026-04-05 00:41,P-SEOUL-01,F-3,야간,1L,0.69,2.13,179.8,394,25.8,57.3,합격
L00202,2026-04-05 00:55,P-SEOUL-01,F-3,야간,1L,-0.02,1.9,184.0,395,25.1,43.4,합격
L00203,2026-04-05 01:58,P-SEOUL-01,F-1,야간,500mL,2.01,2.05,177.1,396,26.4,48.3,합격
L00204,2026-04-05 01:59,P-SEOUL-01,F-1,야간,500mL,1.12,2.11,179.9,397,21.6,65.2,합격
L00205,2026-04-05 02:12,P-SEOUL-01,F-1,야간,1L,0.73,1.97,175.3,408,25.9,69.2,합격
L00206,2026-04-05 02:21,P-SEOUL-01,F-2,야간,2L,1.4,1.93,179.3,400,25.8,55.8,합격
L00207,2026-04-05 03:01,P-SEOUL-01,F-1,야간,2L,1.16,1.89,181.8,400,19.7,40.1,합격
L00208,2026-04-05 03:11,P-SEOUL-01,F-1,야간,1L,-0.43,2.01,181.6,404,16.7,54.5,합격
L00209,2026-04-05 04:23,P-SEOUL-01,F-2,야간,1L,0.51,1.95,181.3,388,20.0,48.8,합격
L00210,2026-04-05 04:48,P-SEOUL-01,F-2,야간,500mL,0.55,1.85,179.8,398,21.9,49.8,합격
L00211,2026-04-05 04:52,P-SEOUL-01,F-2,야간,1L,-1.24,1.88,178.8,398,20.6,45.0,합격
L00212,2026-04-05 05:07,P-SEOUL-01,F-2,야간,1L,-0.65,2.24,183.5,428,23.9,61.6,합격
L00213,2026-04-05 05:08,P-SEOUL-01,F-3,야간,500mL,0.64,2.09,180.6,398,18.2,72.5,합격
L00214,2026-04-05 05:12,P-SEOUL-01,F-1,야간,2L,-0.95,2.01,179.9,395,26.1,56.7,합격
L00215,2026-04-05 05:45,P-SEOUL-01,F-2,야간,500mL,1.33,1.93,182.7,408,22.9,43.3,합격
L00216,2026-04-05 06:54,P-SEOUL-01,F-1,주간,500mL,0.49,2.09,186.2,407,24.2,62.6,합격
L00217,2026-04-05 07:29,P-SEOUL-01,F-2,주간,500mL,-0.35,2.14,178.5,395,19.9,53.8,합격
L00218,2026-04-05 07:35,P-SEOUL-01,F-1,주간,500mL,-0.02,2.13,179.4,390,22.7,63.2,합격
L00219,2026-04-05 07:51,P-SEOUL-01,F-2,주간,1L,-0.39,2.31,176.6,405,27.0,62.5,합격
L00220,2026-04-05 07:56,P-SEOUL-01,F-1,주간,500mL,-0.9,2.07,179.6,390,25.9,47.2,합격
L00221,2026-04-05 08:25,P-SEOUL-01,F-3,주간,500mL,0.79,2.07,179.2,380,22.4,40.8,합격
L00222,2026-04-05 08:26,P-SEOUL-01,F-2,주간,500mL,-0.43,2.26,180.2,378,24.5,57.0,합격
L00223,2026-04-05 09:13,P-SEOUL-01,F-1,주간,500mL,-0.53,2.29,177.7,391,23.0,44.6,합격
L00224,2026-04-05 10:33,P-SEOUL-01,F-1,주간,1L,-0.19,2.11,182.0,386,25.0,48.9,합격
L00225,2026-04-05 11:00,P-SEOUL-01,F-1,주간,500mL,0.13,2.12,179.4,410,22.1,41.3,합격
L00226,2026-04-05 11:10,P-SEOUL-01,F-3,주간,1L,-0.78,2.15,176.2,402,22.5,35.7,합격
L00227,2026-04-05 11:14,P-SEOUL-01,F-1,주간,1L,-0.76,2.14,178.8,397,21.8,53.5,합격
