cell_id,inspected_at,line,shift,open_voltage_V,capacity_mAh,internal_resistance_mOhm,thickness_mm,weight_g,charge_time_min,chamber_temp_C,chamber_humidity_pct,inspector,result
CELL-00094,2026-03-06 16:31,B라인,야간,3.731,4750.9,20.73,10.675,70.05,66.7,21.2,42.2,박정민,합격
CELL-00095,2026-03-06 16:41,A라인,주간,3.695,4975.3,20.39,10.812,69.55,57.8,24.8,42.3,한서린,합격
CELL-00096,2026-03-06 17:19,C라인,주간,3.63,4877.9,19.29,10.852,70.45,80.3,25.8,50.6,박정민,합격
CELL-00097,2026-03-06 19:12,B라인,야간,3.711,4898.9,32.8,11.785,67.7,69.9,21.8,35.0,정우석,불합격
CELL-00098,2026-03-06 19:20,B라인,주간,3.663,4662.1,18.69,10.78,70.49,62.2,23.3,49.5,김수현,합격
CELL-00099,2026-03-06 19:37,B라인,야간,3.698,4950.2,20.69,11.099,71.63,83.4,22.6,33.7,김수현,합격
CELL-00100,2026-03-06 19:40,A라인,주간,3.727,5003.9,27.5,10.733,70.88,60.7,23.4,33.1,박정민,합격
CELL-00101,2026-03-06 21:17,B라인,주간,3.744,4943.0,19.19,10.817,70.72,77.4,22.7,52.7,정우석,합격
CELL-00102,2026-03-06 23:09,C라인,야간,3.699,4828.2,17.29,11.098,70.73,65.5,21.5,43.7,정우석,합격
CELL-00103,2026-03-07 01:46,A라인,주간,3.668,4933.9,19.08,11.257,70.63,68.1,25.0,48.1,이하영,합격
CELL-00104,2026-03-07 01:50,C라인,주간,3.697,4881.6,17.08,10.931,69.17,65.4,25.1,30.2,한서린,합격
CELL-00105,2026-03-07 02:48,A라인,주간,3.672,4796.8,12.63,10.943,69.01,77.0,27.9,52.5,박정민,합격
CELL-00106,2026-03-07 02:49,C라인,야간,3.748,4985.0,23.46,10.797,69.89,82.2,18.7,52.7,한서린,합격
CELL-00107,2026-03-07 03:54,A라인,주간,3.714,5076.2,15.94,11.257,70.78,68.2,23.3,46.4,박정민,합격
CELL-00108,2026-03-07 05:44,A라인,야간,3.709,4864.6,22.39,11.003,71.91,90.8,21.0,42.0,한서린,합격
CELL-00109,2026-03-07 06:35,B라인,주간,3.565,4994.3,19.47,11.285,70.14,66.8,23.1,38.8,한서린,합격
CELL-00110,2026-03-07 07:04,C라인,주간,3.672,5020.3,24.8,11.025,71.32,64.5,24.2,40.7,한서린,합격
CELL-00111,2026-03-07 07:26,B라인,주간,3.672,4776.1,17.81,11.176,68.54,61.4,24.6,50.4,정우석,합격
CELL-00112,2026-03-07 07:45,A라인,야간,3.667,4864.1,25.15,11.257,71.39,64.7,19.2,38.0,한서린,합격
CELL-00113,2026-03-07 08:16,A라인,야간,3.669,4790.3,21.0,10.506,70.38,68.6,21.3,40.4,정우석,합격
CELL-00114,2026-03-07 11:40,A라인,야간,3.707,4860.4,14.73,10.946,70.11,79.6,23.3,37.7,박정민,합격
CELL-00115,2026-03-07 12:04,C라인,주간,3.675,4683.0,18.77,10.949,70.96,67.5,25.6,43.5,김수현,합격
CELL-00116,2026-03-07 12:58,B라인,주간,3.714,4834.6,17.62,10.748,70.45,71.0,24.9,51.0,김수현,합격
CELL-00117,2026-03-07 13:34,B라인,주간,3.608,4778.5,20.31,11.058,70.32,71.2,27.7,43.4,정우석,합격
CELL-00118,2026-03-07 13:50,A라인,주간,3.682,4877.6,22.25,11.108,68.78,83.0,23.4,51.5,이하영,합격
CELL-00119,2026-03-07 15:33,C라인,주간,3.631,4801.5,19.95,10.97,70.5,78.7,22.8,52.8,이하영,합격
CELL-00120,2026-03-07 16:30,C라인,야간,3.668,4979.6,23.79,10.999,69.36,67.8,24.6,49.3,박정민,합격
CELL-00121,2026-03-07 17:31,A라인,야간,3.647,4801.2,22.97,11.127,71.04,66.0,24.8,59.6,정우석,합격
CELL-00122,2026-03-07 18:30,A라인,야간,3.699,4882.7,20.61,11.298,70.32,72.5,24.9,45.8,정우석,합격
CELL-00123,2026-03-07 19:08,A라인,야간,3.71,5181.3,20.69,11.006,70.34,82.4,20.6,40.0,박정민,합격
CELL-00124,2026-03-07 20:30,B라인,주간,3.776,4915.5,25.08,11.082,70.73,77.1,22.6,43.6,김수현,합격
CELL-00125,2026-03-07 20:45,A라인,주간,3.679,4845.8,23.87,10.99,70.2,62.7,21.7,53.1,김수현,합격
CELL-00126,2026-03-07 20:53,C라인,야간,3.663,4764.1,21.81,11.103,70.8,73.7,23.0,48.9,김수현,합격
CELL-00127,2026-03-07 21:09,B라인,주간,3.74,4634.8,17.85,11.39,69.42,65.7,22.3,36.5,김수현,합격
CELL-00128,2026-03-07 21:12,B라인,주간,3.654,4952.0,23.57,10.983,68.99,73.2,25.7,35.7,이하영,합격
CELL-00129,2026-03-08 00:11,B라인,야간,3.65,4497.2,18.47,10.838,70.48,69.3,19.6,50.9,정우석,불합격
CELL-00130,2026-03-08 02:00,A라인,야간,3.663,4787.7,18.14,11.042,70.98,75.8,21.9,48.3,이하영,합격
CELL-00131,2026-03-08 04:19,A라인,주간,3.705,5020.4,17.13,10.615,72.23,79.5,23.5,34.8,김수현,합격
CELL-00132,2026-03-08 05:19,C라인,주간,3.692,5091.0,23.14,10.921,69.64,68.8,26.1,58.1,한서린,합격
CELL-00133,2026-03-08 07:57,A라인,주간,3.662,5196.0,25.32,11.042,70.49,63.9,26.9,64.5,한서린,합격
CELL-00134,2026-03-08 08:15,B라인,야간,3.669,4865.6,22.33,11.317,70.65,76.1,19.3,48.1,박정민,합격
CELL-00135,2026-03-08 08:45,A라인,야간,3.651,4821.5,24.79,11.119,70.02,62.8,26.7,45.6,한서린,합격
CELL-00136,2026-03-08 10:16,A라인,주간,3.635,4870.6,23.65,11.134,69.46,57.4,26.1,33.0,한서린,합격
CELL-00137,2026-03-08 10:34,B라인,야간,3.628,4790.8,18.75,11.061,70.94,65.3,21.6,55.3,이하영,합격
CELL-00138,2026-03-08 10:51,B라인,주간,3.65,4835.1,19.68,11.084,70.55,73.6,21.3,,박정민,합격
CELL-00139,2026-03-08 10:56,C라인,야간,3.633,4797.9,25.01,11.15,70.18,77.8,20.6,30.4,이하영,합격
CELL-00140,2026-03-08 11:01,A라인,주간,3.672,4877.9,20.31,11.022,70.33,66.5,21.7,38.9,정우석,합격
CELL-00141,2026-03-08 12:45,B라인,주간,3.661,4951.7,17.36,10.956,70.18,73.4,28.2,50.3,이하영,합격
CELL-00142,2026-03-08 14:36,C라인,주간,3.689,4754.6,20.4,10.956,68.35,63.6,25.7,46.4,한서린,합격
CELL-00143,2026-03-08 14:37,C라인,주간,3.682,4757.3,25.18,10.764,68.93,82.6,26.1,46.5,이하영,불합격
CELL-00144,2026-03-08 14:59,C라인,야간,3.714,4974.9,24.85,11.102,69.67,72.6,20.1,37.2,김수현,합격
CELL-00145,2026-03-08 18:41,B라인,야간,3.686,4928.5,24.67,11.403,68.67,75.1,20.6,51.3,김수현,합격
CELL-00146,2026-03-08 18:56,A라인,야간,3.686,4752.9,17.91,10.783,70.27,72.1,21.0,50.5,이하영,합격
CELL-00147,2026-03-08 19:15,B라인,주간,3.65,4781.9,16.65,11.13,69.85,62.7,25.8,44.7,박정민,합격
CELL-00148,2026-03-08 19:51,B라인,야간,3.65,4747.8,20.4,11.056,70.02,67.9,27.1,30.8,정우석,합격
CELL-00149,2026-03-08 21:52,B라인,야간,3.683,4625.3,20.32,11.117,71.45,62.6,19.1,68.9,김수현,합격
CELL-00150,2026-03-08 21:56,C라인,야간,3.645,4845.5,29.31,11.058,69.23,69.6,20.5,27.6,이하영,합격
CELL-00151,2026-03-08 23:56,B라인,야간,3.686,4865.4,20.78,10.883,69.26,67.6,27.8,42.7,김수현,합격
CELL-00152,2026-03-09 00:23,B라인,주간,3.692,4794.8,18.09,11.391,69.55,82.7,26.8,47.1,김수현,합격
CELL-00153,2026-03-09 03:15,C라인,야간,3.685,5049.0,21.47,11.243,71.56,71.6,23.3,39.4,박정민,합격
CELL-00154,2026-03-09 03:43,A라인,야간,3.696,5004.7,25.78,10.748,70.74,64.2,24.3,50.5,박정민,합격
CELL-00155,2026-03-09 05:16,A라인,야간,3.689,4885.3,21.15,10.913,69.27,69.7,22.5,42.4,박정민,합격
CELL-00156,2026-03-09 06:39,B라인,야간,3.686,4959.3,18.45,11.177,69.33,84.8,20.2,43.6,박정민,합격
CELL-00157,2026-03-09 09:31,B라인,야간,3.723,4968.0,19.39,10.862,69.9,69.4,24.7,39.7,이하영,합격
CELL-00158,2026-03-09 10:29,A라인,야간,3.669,4881.2,22.07,11.268,71.16,64.7,21.4,51.2,정우석,합격
CELL-00159,2026-03-09 12:26,A라인,주간,3.694,4754.1,24.25,10.807,71.32,,24.7,54.5,이하영,합격
CELL-00160,2026-03-09 16:27,B라인,주간,3.644,4830.5,20.76,10.989,69.57,59.2,23.8,47.1,김수현,합격
CELL-00161,2026-03-09 17:29,C라인,주간,3.718,4998.5,28.76,11.428,71.27,60.9,24.0,49.3,한서린,합격
CELL-00162,2026-03-09 17:33,A라인,야간,3.663,4878.4,25.81,11.434,72.21,71.0,23.1,52.8,김수현,합격
CELL-00163,2026-03-09 18:51,C라인,야간,3.726,5112.9,22.9,10.878,70.47,76.4,22.3,34.2,정우석,합격
CELL-00164,2026-03-09 19:08,B라인,야간,3.645,4837.7,22.15,11.102,69.64,59.6,22.8,42.8,한서린,합격
CELL-00165,2026-03-09 19:18,B라인,야간,3.634,4706.9,26.46,11.061,70.44,81.7,20.6,48.6,박정민,합격
CELL-00166,2026-03-09 20:10,C라인,주간,3.678,4996.7,20.73,11.002,68.88,79.7,24.9,55.3,박정민,합격
CELL-00167,2026-03-09 20:12,C라인,야간,3.685,4901.2,20.11,11.149,70.35,60.8,19.7,23.4,박정민,합격
CELL-00168,2026-03-09 21:04,A라인,야간,3.658,5059.5,21.95,11.066,71.17,66.2,27.4,39.2,한서린,합격
CELL-00169,2026-03-09 21:21,A라인,주간,3.595,5026.3,21.19,11.096,70.82,65.9,21.2,48.3,정우석,합격
CELL-00170,2026-03-09 23:51,A라인,주간,3.663,4742.6,17.48,10.846,69.48,60.3,20.9,55.2,정우석,합격
CELL-00171,2026-03-10 00:24,A라인,주간,3.732,4967.6,22.4,10.763,71.41,67.4,19.5,52.0,한서린,합격
CELL-00172,2026-03-10 02:21,C라인,야간,3.669,4922.6,21.55,10.722,70.65,65.0,18.5,,한서린,합격
CELL-00173,2026-03-10 02:58,B라인,주간,3.684,4646.7,21.63,11.102,69.67,67.2,26.4,49.8,김수현,합격
CELL-00174,2026-03-10 03:54,B라인,주간,3.702,4712.3,19.28,10.81,70.37,66.4,29.6,44.5,이하영,합격
CELL-00175,2026-03-10 04:11,B라인,주간,3.698,5273.7,13.42,10.816,70.48,57.5,,46.5,박정민,합격
CELL-00176,2026-03-10 04:25,A라인,야간,3.613,5096.5,18.38,10.945,69.57,80.3,22.6,33.2,김수현,합격
CELL-00177,2026-03-10 04:47,A라인,야간,3.747,4939.3,21.45,10.879,70.69,74.0,19.1,35.0,이하영,합격
CELL-00178,2026-03-10 05:07,C라인,주간,3.679,4746.3,28.92,10.979,70.22,68.9,24.4,47.8,정우석,합격
CELL-00179,2026-03-10 06:05,A라인,주간,3.674,4959.0,21.77,10.87,69.32,72.2,24.6,45.6,박정민,합격
CELL-00180,2026-03-10 06:25,B라인,주간,3.63,4856.0,18.42,11.108,70.39,56.3,20.7,41.7,이하영,합격
CELL-00181,2026-03-10 06:42,C라인,주간,3.672,4760.7,22.67,10.741,68.36,69.7,22.5,46.8,한서린,합격
CELL-00182,2026-03-10 06:42,A라인,야간,3.701,4901.1,20.84,10.763,70.37,74.7,23.1,50.9,박정민,합격
CELL-00183,2026-03-10 06:58,A라인,야간,3.694,4927.1,17.85,10.888,70.74,79.1,22.7,48.8,정우석,합격
CELL-00184,2026-03-10 08:50,A라인,주간,3.692,4827.4,19.91,11.003,70.31,73.2,23.2,47.4,정우석,합격
CELL-00185,2026-03-10 10:08,B라인,주간,3.635,4768.4,19.33,10.837,71.48,74.6,21.8,42.5,박정민,합격
CELL-00186,2026-03-10 10:12,A라인,주간,3.713,4856.5,17.45,11.413,71.49,78.4,23.0,47.3,정우석,합격
CELL-00187,2026-03-10 10:14,C라인,야간,3.689,4807.6,20.64,10.576,69.76,74.2,23.2,49.9,한서린,합격
CELL-00188,2026-03-10 12:55,A라인,주간,3.669,5055.7,21.34,10.939,68.74,71.1,22.4,42.3,한서린,합격
CELL-00189,2026-03-10 14:31,A라인,주간,3.718,4811.3,20.8,10.834,70.82,64.3,20.3,46.6,이하영,합격
CELL-00190,2026-03-10 15:31,B라인,주간,3.632,4945.2,22.61,10.827,70.34,71.4,24.3,51.5,정우석,합격
CELL-00191,2026-03-10 15:35,B라인,주간,3.711,4882.8,19.74,11.301,70.42,83.6,21.8,70.4,이하영,합격
CELL-00192,2026-03-10 16:10,B라인,주간,3.735,5038.2,20.07,11.087,69.72,72.6,28.3,54.3,김수현,합격
CELL-00193,2026-03-10 16:11,C라인,주간,3.668,4860.6,21.69,10.928,71.56,73.3,25.6,44.0,박정민,합격
CELL-00194,2026-03-10 16:13,B라인,야간,3.653,5101.9,17.86,10.703,70.17,74.0,18.9,48.7,박정민,합격
CELL-00195,2026-03-10 16:21,B라인,주간,3.721,4753.9,20.85,11.032,70.57,74.9,22.9,39.4,정우석,합격
CELL-00196,2026-03-10 19:25,B라인,야간,3.647,4885.0,22.74,10.765,71.55,71.1,19.3,39.1,한서린,합격
CELL-00197,2026-03-10 21:11,A라인,주간,3.682,4766.0,20.57,10.832,69.27,63.8,23.7,59.0,정우석,합격
CELL-00198,2026-03-10 22:24,C라인,야간,3.651,4810.1,24.16,11.029,70.52,59.0,19.0,44.9,김수현,합격
CELL-00199,2026-03-10 22:37,A라인,야간,3.685,4841.0,21.88,11.042,70.18,76.0,22.4,51.6,김수현,합격
CELL-00200,2026-03-10 23:14,B라인,주간,3.738,4710.5,20.18,10.927,70.36,79.0,26.5,60.0,김수현,합격
CELL-00201,2026-03-11 00:20,A라인,야간,3.695,5041.4,21.82,11.116,69.3,87.4,18.9,40.6,김수현,합격
CELL-00202,2026-03-11 01:16,A라인,주간,3.691,4663.1,23.25,11.161,70.69,70.0,18.8,45.1,이하영,합격
CELL-00203,2026-03-11 02:18,A라인,야간,3.669,4955.3,26.62,11.304,71.03,83.0,24.8,36.9,박정민,불합격
CELL-00204,2026-03-11 02:52,C라인,주간,3.706,4777.2,23.29,10.774,69.96,59.1,24.6,55.5,이하영,합격
CELL-00205,2026-03-11 03:44,B라인,주간,3.686,4828.4,22.42,10.902,70.04,71.7,21.9,54.2,박정민,합격
CELL-00206,2026-03-11 03:44,B라인,야간,3.67,4751.1,27.11,11.154,69.44,57.6,24.2,48.8,이하영,합격
CELL-00207,2026-03-11 05:15,A라인,주간,3.597,4964.8,23.27,10.696,71.46,90.3,25.8,44.0,박정민,합격
CELL-00208,2026-03-11 06:52,B라인,주간,3.711,4987.6,19.61,10.911,69.34,68.5,26.0,37.3,한서린,합격
CELL-00209,2026-03-11 07:14,B라인,주간,3.671,4883.9,25.22,10.749,71.01,56.7,22.9,50.1,이하영,합격
CELL-00210,2026-03-11 07:30,C라인,주간,3.69,5100.2,21.76,11.22,71.15,82.5,22.0,39.3,한서린,합격
CELL-00211,2026-03-11 07:59,A라인,주간,3.606,4839.4,20.89,11.024,70.58,66.7,24.4,,이하영,합격
CELL-00212,2026-03-11 08:40,B라인,주간,3.664,4886.7,20.02,10.686,69.98,77.3,24.7,51.8,김수현,합격
CELL-00213,2026-03-11 09:03,B라인,야간,3.667,4844.3,25.2,11.495,70.32,53.7,24.6,39.2,김수현,합격
